district,deals,volume_bn,median_rate,median_price,off_plan_pct
Al Saadiyat Island,10313,64.63,21472.52,3900000.0,82.0
Al Reem Island,25160,61.34,12813.21,1479695.5,45.4
Yas Island,21178,51.3,14610.87,1882784.43,84.2
Al Hidayriyyat,4863,34.11,12648.2,4529800.0,100.0
Khalifa City,4784,12.04,10243.1,920000.0,59.85
Zayed City,4137,11.31,14332.61,2145098.35,89.29
Al Jubail Island,1632,11.07,15721.88,5650000.0,92.03
Al Rahah,3258,9.76,13129.71,1800000.0,30.51
Al Bahyah,2548,8.47,4913.61,2393100.0,91.01
Fahid Island,1519,8.19,39812.55,4279992.0,99.93
Al Reef,6409,7.75,7624.63,1058551.0,4.38
Al Shamkhah,4521,6.64,2317.29,893100.0,81.69
Ghantout,633,6.34,22334.5,5502000.0,99.53
Ramhan Island,464,5.65,16453.22,10019888.0,100.0
Ghadeer Al Tayr,805,4.66,9902.2,4028777.0,90.81
Al Danah,153,4.51,5386.89,13270000.0,0.0
Mohamed Bin Zayed City,632,4.38,3154.64,5800000.0,0.79
Al Maryah Island,1023,4.22,19882.8,1140000.0,50.44
Al Samhah,1292,3.05,11612.9,1900000.0,58.2
Al Bateen,304,2.81,4502.61,5562587.9,19.41
Al Kasir,293,2.77,24304.94,5485656.15,17.75
Al Zahiyah,48,2.45,4956.05,36646356.0,0.0
Rabdan,417,2.06,11663.56,4200000.0,0.0
Abu Mreikhah,1,2.0,160.32,2000000000.0,0.0
Bani Yas,633,1.96,8691.42,2650000.0,28.12
Al Rawdah,22,1.93,6967.34,9750000.0,0.0
Al Muntazah,391,1.87,14724.2,2950000.0,45.01
Al Hisn,44,1.82,6021.08,17500000.0,0.0
Al Sa`adah,259,1.78,6872.85,2550000.0,6.18
Al Manhal,120,1.66,7798.31,6000000.0,0.0
Al Layyan,1990,1.65,8562.48,673477.2,35.13
Shakhbout City,271,1.45,2260.41,4300000.0,0.0
Al Qurm,110,1.44,7561.88,8153840.0,72.73
Al Faqa',802,1.4,516.69,869310.0,96.88
Jarn Yafour,56,1.28,1265.71,3100000.0,0.0
Central District,180,1.23,2746.46,1425000.0,0.0
Al Nahyan,73,1.18,6960.43,13350000.0,0.0
Al Shahamah,40,1.18,2916.83,4000000.0,0.0
Nourai Island,52,0.91,2852.36,7178542.19,0.0
Madinat Al Riyad,261,0.85,2075.41,2450000.0,0.0
Al Khalidiyah,50,0.8,7457.65,7475000.0,0.0
Al Jimi,297,0.75,2095.08,2100000.0,0.0
Al Mushrif,110,0.68,6128.08,5000000.0,0.0
Zakhir,133,0.48,3703.53,2150000.0,0.0
Al Khibeesi,294,0.47,2163.92,1000000.0,0.0
Hadbat Al Za`faranah,92,0.47,7856.16,4250000.0,0.0
Ain Al Faydah,800,0.43,1818.18,536000.0,97.5
Al Ras Al Akhdar,3,0.4,24775.3,63000000.0,100.0
Abu Dhabi Industrial City,4,0.35,696.49,61050000.0,0.0
Al Rahbah,116,0.35,1093.3,2500000.0,0.0
Al Muzoun,38,0.34,13152.93,6338000.0,0.0
Hili,136,0.33,1577.12,1825000.0,0.0
Rimah,424,0.3,20.9,700000.0,0.0
Al Tiwayya,83,0.29,2085.26,3000000.0,0.0
Al Hiyar,258,0.28,29.3,900000.0,0.0
Al Muwaij'i,124,0.28,2322.0,1950000.0,0.0
Ni'mah,18,0.27,3069.42,2400000.0,0.0
Muwaylih,146,0.27,52.01,1325000.0,0.0
Dihan,245,0.27,45.3,1000000.0,0.0
Al Mu'tarid,87,0.23,1999.21,2000000.0,0.0
Al Aamerah,141,0.23,1684.16,1400000.0,0.0
'Asharij,66,0.2,2259.12,2500000.0,0.0
Al Wathbah,53,0.2,135.55,2800000.0,0.0
Al Dhahir,120,0.18,1538.46,1200000.0,0.0
Al Shawamekh,63,0.18,1886.67,2300000.0,0.0
Madinat Zayed,185,0.17,450.39,700000.0,0.0
Al Markhaniyyah,60,0.16,1641.13,2500000.0,0.0
Al Sader,27,0.15,3006.79,4500000.0,0.0
Al Jahili,28,0.14,2144.32,2050000.0,0.0
Al 'Ajban,191,0.14,20.91,700000.0,0.0
Al Fayah,8,0.13,55.36,825000.0,0.0
Al Dhahrah,197,0.13,14.94,500000.0,0.0
Al Falah,40,0.13,6088.86,3400000.0,0.0
Falaj Hazza',43,0.12,3611.5,2800000.0,0.0
Al Sarouj,52,0.11,1731.71,1775000.0,0.0
Al Fou'ah,43,0.11,6664.18,2600000.0,0.0
Al Rawdah Al Sharqiyah,49,0.11,1124.82,1900000.0,0.0
Al Khaznah,95,0.1,41.25,900000.0,0.0
Khalifa Industrial,6,0.09,150.64,14650000.0,0.0
Al Salamat,100,0.09,30.4,800000.0,0.0
Mzeer'ah,198,0.09,16.29,342500.0,0.0
Al Sad,87,0.09,33.51,900000.0,0.0
Nahil,67,0.08,41.8,1300000.0,0.0
Al Ma`mourah,3,0.08,274.86,30300000.0,0.0
