district,deals_12m,rate_now,rate_prior,yoy_%
Al Reem Island,8006.0,16605.88092899035,11636.93489275745,42.69978376630306
Al Rahah,1034.0,18414.66303064647,13129.706231934546,40.25190438654034
Al Saadiyat Island,2415.0,31889.89593823431,24122.270223486004,32.201055882317256
Al Reef,502.0,10248.32619122845,8041.355542791499,27.445256420919527
Khalifa City,1354.0,13258.096984891974,10505.997996493865,26.195502695855822
Yas Island,5084.0,22002.250155680682,17617.790535524087,24.886546422015154
Al Layyan,261.0,9986.684420772304,8130.081300813008,22.83621837549934
Al Jubail Island,267.0,18273.85194525154,15985.593615268052,14.314503327533256
Zayed City,1357.0,15909.192689964731,14644.696123005704,8.634501913444282
Al Bahyah,1310.0,5223.6854571293225,4913.6120755972315,6.310497791879555
Al Shamkhah,774.0,12413.314840499308,11684.8512284512,6.23425662685706
Al Hidayriyyat,4320.0,13087.141448547867,12648.201144726085,3.4703773192665155
Al Maryah Island,713.0,18524.94577006508,26064.585396983442,-28.926758327761306
Al Faqa',428.0,429.9382876775761,1291.667659574468,-66.71448073421482
Ghantout,630.0,22337.664091607796,137604.5540518904,-83.76676975154157
