ym,deals,volume,median_rate,median_price
2019-01-01,495,1460026143.58,9988.901220865704,1300000.0
2019-02-01,1218,1817126449.73,10780.722873314717,1060670.54
2019-03-01,1205,2186039433.59,8936.248612652607,1188000.0
2019-04-01,1212,2785463554.96,8881.944408256368,1199999.4
2019-05-01,1284,2309841480.4,11896.067649701854,1185849.26
2019-06-01,558,1093596897.04,10295.94866392108,1258477.1600000001
2019-07-01,514,1375741404.49,8413.665551791019,1689149.5
2019-08-01,379,932937380.76,8092.168426827595,1333953.0
2019-09-01,642,1198067975.51,8287.110251857304,1286350.0
2019-10-01,759,1492322947.03,8998.018295734331,1400000.0
2019-11-01,519,1856110770.63,9168.142560402317,1440000.0
2019-12-01,646,1324266034.84,8733.943127591972,1192250.0
2020-01-01,1260,3452083248.92,10524.855618897103,1728707.54
2020-02-01,787,1594809542.54,8525.319693094629,1277509.0
2020-03-01,1379,3425150032.58,7090.443307757886,1124448.0
2020-04-01,1231,2339943047.35,7974.159563960931,1300000.0
2020-05-01,857,1829561366.06,11678.482922098912,1286158.02
2020-06-01,1179,2399469508.53,8115.219371358848,1170120.0
2020-07-01,1222,2341156633.98,6892.267724119971,1221486.72
2020-08-01,1136,2840862113.26,7991.958644457209,1395650.0
2020-09-01,948,2907170418.77,7696.852383687536,1263600.0
2020-10-01,967,5199996178.13,8821.062756140398,1299666.0
2020-11-01,1149,5756433225.69,8673.984355286399,1287961.0
2020-12-01,2552,9850347899.86,10954.492213750164,1550837.7349999999
2021-01-01,828,2876853733.17,10764.040862944163,1530138.5
2021-02-01,330,673602509.77,9566.550658456636,1300000.0
2021-03-01,507,1403954273.43,9452.836990595613,1478980.0
2021-04-01,432,950691852.15,10715.040446215993,1588638.5
2021-05-01,351,760317424.75,10591.805052453308,1597777.0
2021-06-01,824,2211765228.49,12461.356629669071,2000764.0
2021-07-01,450,1735927714.64,11028.201603221934,1716471.48
2021-08-01,567,1231299659.11,9147.027998745296,1579777.0
2021-09-01,607,1606134837.35,10312.5,1635000.0
2021-10-01,649,1480400857.44,11696.958790714414,1500000.0
2021-11-01,729,1542017450.62,11329.15964363111,1320655.0
2021-12-01,696,1451918795.7,10281.992663866793,1300388.5
2022-01-01,573,1434352621.41,10695.1871657754,1436515.5
2022-02-01,603,1349050979.88,10023.29573320255,1411000.0
2022-03-01,684,1703476520.56,10639.815866098126,1362798.5150000001
2022-04-01,548,1623510742.34,10827.02122281057,1406621.5
2022-05-01,458,1304758853.3600001,10014.456372935409,1449500.0
2022-06-01,896,2096649105.27,9541.579884735116,1381438.5
2022-07-01,536,1567708617.43,11409.278830843377,1825980.0
2022-08-01,692,3072110567.24,12315.322480427487,1507696.0
2022-09-01,726,1834973022.81,12385.219694929918,1544966.0
2022-10-01,873,2150662221.68,12945.29334087908,1811805.0
2022-11-01,967,2538071593.85,11757.269279393173,2000000.0
2022-12-01,985,3305829896.76,12273.18488183602,2487400.0
2023-01-01,714,2974283492.7599998,10844.814507635463,2380800.0
2023-02-01,895,5102781414.89,11084.583901773532,2539416.0
2023-03-01,1248,4248790672.9,12753.305304010348,1886856.5
2023-04-01,693,1655954463.36,12935.535419630156,1364200.0
2023-05-01,1122,2714571812.67,12353.415881926838,1658054.0
2023-06-01,1093,3243007236.59,12309.398768562116,1876280.0
2023-07-01,1153,4082138263.37,11673.774577679313,1830800.0
2023-08-01,1557,5900530147.45,13038.086802480071,2118500.0
2023-09-01,1493,5226828489.0,13376.022578534032,1824800.0
2023-10-01,1547,4656237395.62,13369.401490265203,1700000.0
2023-11-01,1552,5030286301.14,13567.874677733762,1782016.0
2023-12-01,1269,4918177084.33,14391.347926115823,2275000.0
2024-01-01,1031,3620464177.04,12781.728226904896,1843382.94
2024-02-01,916,3032861752.66,13073.8847039817,1495000.0
2024-03-01,1170,3755072655.5,13452.697031089465,1600000.0
2024-04-01,1263,3292200390.27,13618.11224489796,1536475.0
2024-05-01,1323,3580870462.85,12310.587104910224,1500000.0
2024-06-01,1027,2967683115.56,11986.053434546402,1520000.0
2024-07-01,1517,4473762073.52,13891.508651073374,1918450.0
2024-08-01,1413,3942964675.78,13979.748356404241,1770877.0
2024-09-01,1074,3389149812.25,13162.533787754144,1727500.0
2024-10-01,1716,4842566898.4,15222.297847047947,1831686.545
2024-11-01,1715,8112383746.72,14020.337897349667,2382700.0
2024-12-01,1643,5863933977.19,12999.675008124796,2050955.0
2025-01-01,1764,6519797223.01,15362.023713909854,2039498.9
2025-02-01,1029,3373597835.41,12860.427582053599,1900000.0
2025-03-01,1241,5116038533.52,14598.9166762706,1915000.0
2025-04-01,1230,4375599255.94,15786.604329193986,2070533.4100000001
2025-05-01,1541,5428377607.57,13617.793917385385,1890909.0
2025-06-01,1666,6927687682.01,14295.295624673681,2250000.0
2025-07-01,2164,6287994919.33,15199.090767606018,1900000.0
2025-08-01,2318,9445119602.64,17421.21645551827,2469339.0
2025-09-01,2613,9419729880.07,16294.323564239196,1972554.0
2025-10-01,3888,14080614345.48,15198.160013142764,2685850.0
2025-11-01,2418,9051789892.69,14812.477892273462,2507300.0
2025-12-01,2717,11034889538.97,15076.537980167515,2523600.0
2026-01-01,2846,13355626930.33,17981.13653189099,2130059.5
2026-02-01,3084,21128531859.46,18128.59991612677,3006440.5
2026-03-01,2596,11832036012.59,20327.035500034202,2860258.0
2026-04-01,3381,14663864526.72,19606.267577340295,2580000.0
2026-05-01,2104,8502189687.26,19575.69114954186,2238000.0
2026-06-01,236,934169155.47,18326.036991657013,2469000.0
