district,project,rate_now,deals_12m,rate_prior,yoy_%
Al Bateen,Private,1201.3901821232898,40,5602.200659335924,-78.55503122471696
Al Faqa',Arabian Hills Estate (Plots),361.3096200485045,119,1291.6681254558716,-72.0276739103563
Al Faqa',Sun Valley (Plots),226.04079809410365,41,525.5538635113846,-56.98998451198578
Khalifa City,Private,3531.6152009983557,52,5255.0243159313295,-32.795454622507116
Khalifa City,Plaza 1,11498.09663267007,46,14180.387931034484,-18.915500135888983
Al Khibeesi,Private,2167.937068216449,46,2557.988542121523,-15.248366733557628
Yas Island,Mayyas at the Bay,13335.599879117559,71,15715.01356649253,-15.141022165251862
Shakhbout City,Private,2497.00276212687,32,2679.0156531057446,-6.794021183410015
Al Faqa',Park Vista (Plots),492.09801031687545,83,527.190332326284,-6.6564805645353715
Al Saadiyat Island,Ajwan Towers,25419.989926739927,38,26705.13333333333,-4.812345965669785
