district,project,rate_now,deals_12m,rate_prior,yoy_%
Al Samhah,Private,883.3206342954836,50,139.93039359908147,531.2571640628058
Mzeer'ah,Private,36.96500779316401,37,17.500242819238235,111.22568512322539
Al Jubail Island,Jubail Island - Phase 2,23250.467064005683,84,14407.379944764933,61.378870781109484
Khalifa City,Plaza 2,15941.611365856066,30,10559.255432498783,50.972873681904886
Khalifa City,Oasis 2,15478.217899473679,44,10640.814769767378,45.460833915183855
Yas Island,Water's Edge - Precinct A,20518.575358863563,74,14341.969815269124,43.06664721200668
Al Reem Island,"The Bridges (Towers 1, 2, and 3)",17614.091273018417,64,12316.768053917967,43.00903610355291
Al Reem Island,"Marina Square, Paragon Bay Mall",13095.238095238095,501,9411.764705882353,39.136904761904766
Al Rahah,Al Muneera (Mainland),16504.242147036995,76,11886.419394750892,38.84956940292179
Yas Island,Water's Edge - Precinct B,20277.647792856027,113,14612.699062867156,38.76729894742219
Al Rahah,Al Zeina,17728.328646533806,41,12987.013071516754,36.50812969008057
Al Reef,Al Reef Downtown,9475.560559151889,283,6947.796218462009,36.38224641610797
Al Reem Island,"Sun & Sky, Boutik Mall",15685.840732265879,164,11588.406134860601,35.35805139827857
Al Reem Island,Reem Nine,22535.958109630807,31,16850.888575458393,33.7375059405006
Al 'Ajban,Private,23.902715946099374,33,17.916330735465376,33.41300905315365
