district,deals_12m,delta_3m_pct,delta_12m_pct,delta_qyoy_pct,momentum
Ghadeer Al Tayr,117,-42.38160029941975,53.2898394552797,,decelerating
Bani Yas,103,-3.29060700669922,51.87002855394653,,decelerating
Al Raha Beach,991,0.20729442269553644,40.497807168248315,49.10621721838084,decelerating
Al Reem Island,7406,12.428945270460945,39.86393677373257,27.588033770755693,decelerating
Al Saadiyat Island,2313,-7.303981411636451,31.233519705417766,43.41680966893773,decelerating
Al Reef,462,4.166666666666674,25.41377596488017,36.87320065089499,decelerating
Yas Island,4967,-5.399302378257631,25.078577945319424,26.378263529551592,decelerating
Hudayriyat Island,2241,15.379108752662018,24.187292588000965,73.9859917649845,decelerating
Khalifa City,1033,11.823821944325141,21.598989370410095,17.787141189499,decelerating
Al Layyan,250,8.695652173913038,18.79949843072344,19.41864902684136,decelerating
Al Jubail Island,234,0.7356485886457431,15.616413510901307,16.47518063218092,decelerating
Zayed City,1119,3.221654769985016,9.399455239502231,14.208289816103692,decelerating
Al Bahyah,1091,-56.9402386219263,6.347782884924191,8.828119616028651,decelerating
Al Shamkha,542,3.832619464636755,4.2459040899050615,,flat
Al Maryah Island,689,87.0335466056734,-28.27583826027984,133.53011177721606,accelerating
