district,median_price_aed,median_psm_aed,median_sqm,all_in_price_aed,gross_yield_pct,gross_source,annual_service_charge_aed,vacancy_pct,net_yield_pct_on_allin,deals_12m
Al Reem Island,1650000.0,16787.0,95.6,1716000.0,7.6,MPInvestments / Bayut H1 2025,18521.0,7.000000000000001,5.72,7094
Masdar City,627886.0,15452.0,41.5,653001.0,7.0,H2O Properties 2025,5357.0,7.000000000000001,5.44,228
Al Reef,977500.0,9095.0,106.4,1016600.0,7.5,H2O Properties 2025 estimate,13749.0,7.000000000000001,5.35,250
Khalifa City,1100000.0,13232.0,84.4,1144000.0,7.0,Global Property Guide UAE 2025,10897.0,7.000000000000001,5.31,776
Yas Island,1889003.0,22793.0,81.6,1964563.0,7.1,MPInvestments / Bayut H1 2025,24600.0,7.000000000000001,5.1,4501
Zayed City,1588000.0,15631.0,100.5,1651520.0,7.0,H2O Properties 2025 estimate,19468.0,7.000000000000001,5.08,445
Ghadeer Al Tayr,3889762.0,33344.0,104.2,4045352.0,6.5,Citywide apartment mid-range (Bayut 2025 generic),31420.0,7.000000000000001,5.04,52
Al Shamkha,810240.0,13664.0,61.5,842650.0,6.5,Citywide apartment mid-range (Bayut 2025 generic),7946.0,7.000000000000001,4.87,506
Al Raha Beach,2335750.0,18530.0,123.5,2429180.0,6.5,Bayut H1 2025 average,23925.0,7.000000000000001,4.83,836
Al Layyan,660000.0,8933.0,85.2,686400.0,6.5,Citywide apartment mid-range (Bayut 2025 generic),11007.0,7.000000000000001,4.21,176
Al Saadiyat Island,3734032.0,33383.0,118.0,3883393.0,5.5,MPInvestments / Bayut H1 2025,35579.0,7.000000000000001,4.0,2053
Fahid Island,4127569.0,39340.0,113.7,4292672.0,5.0,,34265.0,7.000000000000001,3.67,1399
Hudayriyat Island,3392000.0,23012.0,147.4,3527680.0,5.5,No external data yet; estimate from comparable new luxury,44413.0,7.000000000000001,3.66,710
Al Jubail Island,2280000.0,19404.0,126.1,2371200.0,5.0,,24436.0,7.000000000000001,3.44,51
Al Maryah Island,870500.0,18963.0,50.1,905320.0,5.5,Bayut 2025 estimate,15109.0,7.000000000000001,3.25,624
