district,ptype,layout,tier,n_post_ready,psm_post_ready,sqm_med,price_med,all_in_entry,gross_yield_pct,service_charge_aed,net_yield_pct,stress_net_yield_pct,source,regime_class,excess_change_pct,naive_change_pct,vol_change_ratio,n_post,distress_count,dump_signal_pp,s_yield,s_stress_yield,s_panic,s_distress,s_liquidity,s_supply_inv,total
Al Reem Island,apartment,studio,affordable,19,13945.23326572008,47.8,567184.8,589872.192,7.9,6174.2303999999995,6.0177166066509535,4.958053145112492,Sands of Wealth 2025,resilient,27.424329181506558,9.047392209143347,1.5033191489361701,276.0,4,-0.4073960422541094,100.0,100.0,0,100.0,35.15312916111851,66.33842626291269,70.14915554240312
Masdar City,apartment,studio,midtier,6,21875.337499035715,30.22,700000.0,728000.0,7.5,5855.185439999999,5.902447054945055,4.896437439560439,H2O Properties 2025,,,,,,0,,97.62958161042818,98.5111616560039,0,0.0,,,
Al Reem Island,apartment,1 bed,affordable,193,15000.0,80.0,1200000.0,1248000.0,7.49,10333.439999999999,5.8697884615384615,4.865120192307693,Sands of Wealth 2025,resilient,28.147125482892264,10.482665780324396,1.2941342756183747,763.0,4,-0.4073960422541094,96.95798595274697,97.75443383603431,0,100.0,100.0,66.33842626291269,75.3844034875205
Al Reef,apartment,1 bed,affordable,12,11276.184955886165,77.18,845000.0,878800.0,7.6,9969.18624,5.661744852071005,4.642321775147929,H2O Properties 2025,resilient,31.00641134961508,29.56519788491272,0.72,12.0,1,,92.6797495024761,92.37089041188467,0,43.06765580733931,0.0,,
Yas Island,apartment,studio,midtier,29,16618.567218317843,44.11,832830.0,866143.2000000001,7.4,8546.40072,5.630588553948123,4.637992400101969,Sands of Wealth 2025 + MPInvestments,resilient,33.277486416345155,29.016924926906285,1.6990281329923271,346.0,1,24.149779064852726,92.03904724478107,92.26627845432915,0,43.06765580733931,44.47403462050599,15.968506446145724,53.956058419349766
Al Reem Island,apartment,2 beds,affordable,192,14020.720070081115,123.735,1682390.0,1749685.6,7.0,15982.602479999998,5.346159705492233,4.407217397799925,MPInvestments 2025,resilient,35.057463354930235,24.57503505157923,1.3923809523809523,731.0,4,-0.4073960422541094,86.19001458241077,86.68999446659151,0,100.0,95.73901464713715,66.33842626291269,70.06824763571694
Yas Island,apartment,1 bed,midtier,55,18912.22120777357,79.14,1470000.0,1528800.0,7.1,15333.53328,5.346060094191521,4.393704324960752,MPInvestments / Bayut H1 2025,resilient,29.21946702767866,21.448927530854768,2.312614322691976,698.0,1,24.149779064852726,86.18796616237684,86.3634741288316,0,43.06765580733931,91.34487350199734,15.968506446145724,56.00239733395299
Al Reef,apartment,2 beds,affordable,28,11032.08864500472,106.515,1195000.0,1242800.0,7.2,13758.32952,5.331418609591246,4.365649378822015,H2O Properties 2025,resilient,51.83617811898053,44.5617315819806,0.7216107382550336,28.0,1,,85.88687672606436,85.68557424639317,0,43.06765580733931,2.130492676431425,,
Yas Island,apartment,2 beds,midtier,50,18754.892655308424,114.84,2235000.0,2324400.0,6.7,22250.47968,5.034089241094475,4.1353873180175516,MPInvestments / Bayut H1 2025,resilient,31.989682552798595,22.91958475817404,1.6246153846153846,462.0,1,24.149779064852726,79.77255605409056,80.1216846143313,0,43.06765580733931,59.92010652463382,15.968506446145724,49.99902917655571
Al Raha Beach,apartment,1 bed,midtier,37,16693.644113521095,85.03,1500000.0,1560000.0,6.8,16474.73256,5.02469663076923,4.112581246153846,Bayut H1 2025 estimate,resilient,30.66566105422194,11.501290589517321,3.3296202531645576,137.0,0,0.0,79.57940516635354,79.57061481869404,0,0.0,16.644474034620508,65.50280466179176,44.02414164235139
