district,max_post_share_pct,avg_post_share_pct,pre_share_pct,dump_signal_pp
Al Shamkha,100.0,76.3520580296896,15.060240963855422,61.29181706583418
Zayed City,100.0,63.96292148090866,25.220264317180618,38.74265716372804
Al Saadiyat Island,93.75,43.001522789431064,11.06651376146789,31.935009027963176
Yas Island,96.875,37.111047744328175,12.961268679475449,24.149779064852726
Al Maryah Island,100.0,28.8698955365622,12.074303405572756,16.795592130989444
Hudayriyat Island,100.0,14.818466474010831,0.676818950930626,14.141647523080206
Ghantout,50.0,5.0,0.3502626970227671,4.649737302977233
Fahid Island,2.272727272727273,0.2066115702479339,0.0,0.2066115702479339
Al Raha Beach,0.0,0.0,0.0,0.0
Al Reem Island,5.405405405405405,1.9334771823645123,2.3408732246186217,-0.4073960422541094
Al Jubail Island,100.0,28.571428571428573,45.39007092198582,-16.818642350557244
