district,year,n,monthly_avg,median_psm,median_ticket,p25_psm,p75_psm,median_sqm
Al Reem Island,2023,75,15.0,12627.0,500000.0,10914.0,13309.0,39.0
Al Reem Island,2024,43,8.6,11421.0,490000.0,10356.0,12419.0,42.0
Al Reem Island,2025,31,6.2,12959.0,580000.0,11438.0,14708.0,48.0
Al Reem Island,2026,34,6.8,14936.0,700000.0,11185.0,18782.0,48.0
Yas Island,2023,11,2.2,13233.0,750000.0,12456.0,14107.0,49.0
Yas Island,2024,22,4.4,15679.0,740000.0,14683.0,16687.0,47.0
Yas Island,2025,24,4.8,18770.0,912500.0,17464.0,19531.0,48.0
Yas Island,2026,41,8.2,16619.0,832830.0,16221.0,28617.0,44.0
Al Maryah Island,2023,0,0.0,,,,,
Al Maryah Island,2024,0,0.0,,,,,
Al Maryah Island,2025,49,9.8,16492.0,688316.0,13045.0,18196.0,49.0
Al Maryah Island,2026,37,7.4,22940.0,950000.0,20288.0,25060.0,49.0
Al Saadiyat Island,2023,4,0.8,14682.0,552500.0,13591.0,15809.0,39.0
Al Saadiyat Island,2024,13,2.6,14695.0,620000.0,13554.0,14848.0,42.0
Al Saadiyat Island,2025,11,2.2,19207.0,770000.0,17965.0,19733.0,43.0
Al Saadiyat Island,2026,10,2.0,21909.0,1081000.0,20060.0,25709.0,47.0
Masdar City,2023,0,0.0,,,,,
Masdar City,2024,0,0.0,,,,,
Masdar City,2025,1,0.2,18148.0,790908.0,,,44.0
Masdar City,2026,20,4.0,21774.0,700000.0,18722.0,23771.0,29.0
Khalifa City,2023,7,1.4,13769.0,500000.0,12176.0,13927.0,36.0
Khalifa City,2024,15,3.0,13195.0,515000.0,12399.0,13652.0,36.0
Khalifa City,2025,24,4.8,14386.0,642500.0,13690.0,16133.0,46.0
Khalifa City,2026,17,3.4,19237.0,720000.0,18159.0,19641.0,36.0
