district,project,n,median_psm,psm_p10,psm_p90,median_ticket,ticket_min,ticket_max,median_sqm,last_print
Al Reem Island,Hydra Avenue (Hydra Towers),7,9710,8872,19464,502007,300000,790000,39.4,2026-06-01
Al Reem Island,Pixel,2,20341,20156,20526,1225000,1100000,1350000,60.3,2026-05-05
Al Reem Island,Radiant Square,2,11188,11184,11192,537060,506934,567185,48.0,2026-04-21
Yas Island,Ansam - Phase 2 - The Golf Collection,12,16607,15896,31517,792566,689390,1500000,44.1,2026-05-18
Yas Island,Water's Edge - Precinct B,2,29575,28809,30341,1310000,1250000,1370000,44.3,2026-05-06
Al Maryah Island,Vista 1,7,23738,22526,26451,1100000,850000,1190000,48.6,2026-05-22
Al Saadiyat Island,"Park View Residence, Al Saadiyat Island",1,17334,17334,17334,900000,900000,900000,51.9,2026-04-24
Masdar City,"The Gate, Masdar City",4,21875,14747,23521,700000,347000,930000,30.2,2026-05-21
Khalifa City,Oasis 1,3,19466,19447,19606,700000,690000,700000,35.6,2026-05-21
Khalifa City,Oasis 2,2,18274,18196,18353,852500,845000,860000,46.7,2026-05-14
