date,sqm,price,rate_sqm,market
2026-03-25,68.59,1500000.0,21869.07712494533,secondary
2026-02-02,49.12,1700000.0,34609.12052117264,secondary
2026-01-21,47.03,1425000.0,30299.808632787583,secondary
2025-11-13,49.12,1750000.0,35627.035830618894,secondary
2025-08-06,47.86,1400000.0,29251.984956122025,secondary
2025-07-29,69.3,1350000.0,19480.51948051948,secondary
2025-07-29,68.61,1400000.0,20405.18874799592,secondary
2025-07-23,50.16,1275000.0,25418.66028708134,secondary
2025-07-09,49.12,1400000.0,28501.628664495114,secondary
2025-06-03,65.1,1500000.0,23041.47465437788,secondary
2025-05-27,68.61,1550000.0,22591.45897099548,secondary
2025-04-24,69.84,1400000.0,20045.81901489118,secondary
2025-02-26,52.67,1000000.0,18986.14011771407,secondary
2025-02-18,69.31,1300000.0,18756.312220458807,secondary
2024-12-18,48.46,780000.0,16095.749071399092,secondary
2024-10-17,69.37,1130000.0,16289.462303589447,secondary
2024-10-07,49.46,740000.0,14961.585119288315,secondary
2024-09-23,47.27,1150000.0,24328.326634228895,secondary
2024-08-15,49.99,910000.0,18203.640728145627,secondary
2024-08-13,65.1,1000000.0,15360.983102918588,secondary
2024-06-28,49.99,920820.0,18420.08401680336,primary
2024-05-23,69.31,1100000.0,15870.725725003607,secondary
2024-04-29,46.58,849750.0,18242.808072133965,primary
2024-04-04,68.59,1100000.0,16037.323224959908,secondary
2024-02-26,52.05,1000000.0,19212.29586935639,secondary
2024-02-15,49.92,860000.0,17227.564102564105,secondary
2024-02-07,47.2,900000.0,19067.796610169487,secondary
2023-12-12,46.95,950000.0,20234.291799787006,secondary
2023-10-11,49.62,1000000.0,20153.16404675534,secondary
2023-10-10,46.46,900000.0,19371.50236762807,secondary
