district,2023,2024,2025,2026,total_4y,yoy24_23,yoy25_24,yoy26_25,trend
Al Reem Island,55,16,12,9,92,-70.9090909090909,-25.0,-25.0,sustained decline
Al Maryah Island,0,0,44,10,54,,,-77.27272727272727,down from peak
Yas Island,4,9,8,20,41,125.0,-11.111111111111116,150.0,rising / at peak
Khalifa City,3,7,15,7,32,133.33333333333334,114.28571428571428,-53.333333333333336,down from peak
Al Layyan,4,5,6,8,23,25.0,19.999999999999996,33.33333333333333,sustained rise
Al Saadiyat Island,3,3,4,2,12,0.0,33.33333333333333,-50.0,mixed
Masdar City,0,0,1,5,6,,,400.0,sustained rise
Al Reef,0,0,2,2,4,,,0.0,sustained rise
Al Raha Beach,1,1,1,0,3,0.0,0.0,-100.0,sustained decline
Bani Yas,0,0,0,1,1,,,,thin/new
