window,year,deals,yoy_deals_pct,median_psm,yoy_psm_pct,median_price
Apr+May,2023,70,,13008.0,,503500.0
Apr+May,2024,41,-41.4,12238.0,-5.9,530000.0
Apr+May,2025,93,126.8,14937.0,22.1,650866.0
Apr+May,2026,64,-31.2,18704.0,25.2,768087.0
April only,2023,35,,13091.0,,502000.0
April only,2024,15,-57.1,12248.0,-6.4,540000.0
April only,2025,33,120.0,13959.0,14.0,600000.0
April only,2026,42,27.3,16637.0,19.2,778318.0
May only,2023,35,,12579.0,,506000.0
May only,2024,26,-25.7,12147.0,-3.4,495000.0
May only,2025,60,130.8,16482.0,35.7,684158.0
May only,2026,22,-63.3,20107.0,22.0,759770.0
