scenario,ltv_pct,horizon_y,irr_pct,equity_in,equity_multiple
bear,0,3,4.2,1839760.0,1.12
bear,0,5,5.0,1839760.0,1.25
bear,0,7,5.4,1839760.0,1.37
bear,50,3,3.3,957471.0,1.1
bear,50,5,4.8,957471.0,1.24
bear,50,7,5.5,957471.0,1.39
bear,70,3,2.1,604556.0,1.06
bear,70,5,4.6,604556.0,1.23
bear,70,7,5.6,604556.0,1.42
base,0,3,9.9,1839760.0,1.31
base,0,5,10.6,1839760.0,1.58
base,0,7,10.9,1839760.0,1.88
base,50,3,13.8,957471.0,1.45
base,50,5,14.6,957471.0,1.89
base,50,7,14.6,957471.0,2.38
base,70,3,18.1,604556.0,1.63
base,70,5,18.7,604556.0,2.26
base,70,7,18.2,604556.0,2.99
bull,0,3,13.8,1839760.0,1.45
bull,0,5,14.4,1839760.0,1.85
bull,0,7,14.5,1839760.0,2.33
bull,50,3,20.4,957471.0,1.71
bull,50,5,20.6,957471.0,2.41
bull,50,7,20.0,957471.0,3.24
bull,70,3,27.5,604556.0,2.04
bull,70,5,26.5,604556.0,3.08
bull,70,7,25.0,604556.0,4.35
