district,ptype,layout,excess_raw_pct,excess_lag_pct,lag_contamination_pp
Al Saadiyat Island,apartment,1 bed,56.03645933940238,36.16476964096116,19.871689698441216
Al Maryah Island,apartment,1 bed,78.40616232011782,63.45047595056958,14.955686369548232
Al Saadiyat Island,apartment,2 beds,49.408584952143016,37.197799898175,12.210785053968017
Al Raha Beach,apartment,4 beds,0.20300676500157877,-10.829800587746552,11.032807352748131
Zayed City,apartment,2 beds,10.546700074220926,2.260061769644805,8.28663830457612
Fahid Island,apartment,1 bed,6.909905976352038,0.23631712339204913,6.6735888529599885
Al Reef,townhouse / attached villa,3 beds,18.000000000000014,12.857142857142856,5.142857142857158
Al Jubail Island,villa,4 beds,5.512841078227426,1.2655298236337709,4.247311254593655
Al Raha Beach,apartment,2 beds,36.928685995092806,35.32377328701182,1.6049127080809882
Yas Island,apartment,2 beds,31.989682552798595,30.56978594327329,1.4198966095253063
Al Raha Beach,apartment,3 beds,24.95629370326997,23.61771306350513,1.3385806397648423
Hudayriyat Island,villa,4 beds,41.21694573080973,39.92017918162386,1.2967665491858682
Al Shamkha,apartment,2 beds,4.97995695798199,3.727056488008107,1.2529004699738833
Fahid Island,apartment,3 beds,6.235188814140624,5.303276227703746,0.9319125864368782
Al Reef,apartment,2 beds,51.83617811898053,51.024446536999925,0.8117315819806024
Fahid Island,apartment,2 beds,0.5386807695773488,-0.16603743941848714,0.7047182089958359
Al Shamkha,apartment,studio,14.194968256311812,13.81035287169643,0.3846153846153815
Al Maryah Island,apartment,3 beds,65.5631484282078,65.29951258070975,0.26363584749805113
Al Shamkha,apartment,1 bed,-2.2273110176856403,-2.4491470277970717,0.2218360101114314
Zayed City,apartment,1 bed,5.825608826743323,5.7503623647243485,0.07524646201897411
Yas Island,apartment,1 bed,29.21946702767866,29.208548451032,0.010918576646659517
Hudayriyat Island,villa,5 beds,-29.765659554488167,-29.765659554488167,0.0
Hudayriyat Island,apartment,2 beds,27.233171514330024,27.233171514330024,0.0
Al Raha Beach,duplex,1 bed,1.3662115209065462,1.3662115209065462,0.0
Al Raha Beach,duplex,2 beds,75.87315970866054,75.87659063185113,-0.003430923190592239
Zayed City,villa,3 beds,-3.449775058101323,-3.1941462602668946,-0.2556287978344285
Al Saadiyat Island,villa,4 beds,-0.3327010159086097,0.2892246783273378,-0.6219256942359475
Al Raha Beach,apartment,1 bed,30.66566105422194,31.288970478395395,-0.6233094241734563
Al Reem Island,apartment,2 beds,35.057463354930235,35.712996895049585,-0.6555335401193503
Al Saadiyat Island,apartment,studio,-23.03230003338004,-22.261054333611632,-0.7712456997684072
Al Reef,townhouse / attached villa,2 beds,24.18759231905465,25.11078286558346,-0.9231905465288079
Zayed City,villa,4 beds,8.680152842472744,9.630492572947148,-0.9503397304744041
Hudayriyat Island,apartment,1 bed,16.611158158275032,17.80436863480066,-1.1932104765256284
Ghantout,villa,3 beds,28.799989980762874,30.374265901926755,-1.5742759211638813
Al Maryah Island,apartment,studio,41.403662915089804,43.05077972799637,-1.6471168129065674
Yas Island,apartment,3 beds,6.383522298547217,8.211287392979095,-1.8277650944318777
Zayed City,townhouse / attached villa,3 beds,13.630454053512942,15.462890522779173,-1.8324364692662307
Al Saadiyat Island,villa,5 beds,1.1953615078426072,3.3612953434248083,-2.165933835582201
Al Saadiyat Island,apartment,3 beds,62.83966481925498,65.22332423453959,-2.383659415284612
Al Raha Beach,apartment,studio,11.086728158548432,13.751827875441357,-2.665099716892925
Zayed City,townhouse / attached villa,2 beds,15.57647723269332,18.675627689309046,-3.0991504566157264
Al Raha Beach,duplex,3 beds,-1.45995181762405,1.8889075494707308,-3.348859367094781
Al Reem Island,apartment,studio,27.424329181506558,31.43859671082273,-4.014267529316172
Al Reem Island,apartment,1 bed,28.147125482892264,32.69125066548373,-4.544125182591465
Hudayriyat Island,apartment,3 beds,17.21078681413033,22.456304446875897,-5.2455176327455675
Al Reem Island,apartment,3 beds,19.624409762191153,24.917310544732832,-5.292900782541679
Yas Island,villa,4 beds,6.063967303507157,11.430197619543536,-5.366230316036379
Yas Island,townhouse / attached villa,2 beds,44.466807238423485,49.850379177393194,-5.383571938969709
Yas Island,villa,5 beds,25.308168622963812,31.250334708882765,-5.942166085918952
Yas Island,townhouse / attached villa,3 beds,3.3663860486633834,9.810822777782747,-6.444436729119364
Yas Island,apartment,studio,33.277486416345155,41.54071694556718,-8.263230529222028
Ghantout,villa,4 beds,12.935720071914147,23.06595299567682,-10.130232923762673
Al Reem Island,apartment,4 beds,-9.245550848484484,1.121873181933264,-10.367424030417748
