district,ptype,layout,n_pre,psm_pre,psm_pre_mean,psm_pre_std,sqm_med,sqm_p10,sqm_p90,price_pre,n_post,psm_post,n_ctrl,psm_ctrl,naive_change_pct,seasonal_change_pct,excess_change_pct,vol_pre_monthly,vol_post_monthly,vol_change_ratio,window_label,excess_ci_lo,excess_ci_hi,ci_crosses_zero,regime_class
Al Jubail Island,villa,4 beds,60,16674.027627223622,17789.574972118615,4744.77765576648,355.58000000000004,283.611,574.0,6300000.0,18,16534.8802837718,15,16323.865491348351,-0.8345154905743168,-2.1000453142080877,1.2655298236337709,5.0,10.943999999999999,2.1887999999999996,lag_adjusted,-0.6415348164353629,6.365136679210193,True,resilient
Al Maryah Island,apartment,1 bed,144,18903.799591574792,25712.1786076145,15312.051028267582,66.72,57.523,91.0,1200000.0,18,40361.6319266807,52,28367.081113084663,113.51068461744282,50.06020866687324,63.45047595056958,12.0,10.943999999999999,0.9119999999999999,lag_adjusted,49.847616061962995,64.92489630978287,False,resilient
Al Maryah Island,apartment,3 beds,57,27540.193670944725,32328.838641846214,10711.992953739697,202.2,192.524,275.46,5449000.0,8,44635.04555039522,37,26651.43331948484,62.072373505077394,-3.227139075632357,65.29951258070975,4.75,4.864,1.024,lag_adjusted,64.37973130322786,70.33726333577839,False,resilient
Al Maryah Island,apartment,studio,378,16814.175652086375,16491.096637042017,4352.890439256009,33.74,31.78,49.75,656000.0,8,23575.166294019913,65,16336.532570961812,40.21006311477784,-2.84071661321853,43.05077972799637,31.5,4.864,0.15441269841269842,lag_adjusted,36.63206324415592,55.66078907174733,False,stable/up
Al Raha Beach,apartment,1 bed,158,18122.9556307397,17272.016620598508,2416.450988762447,86.05,72.677,98.808,1500000.0,100,20320.29151162554,30,14649.805274510698,12.124600013690777,-19.164370464704618,31.288970478395395,13.166666666666666,60.8,4.6177215189873415,lag_adjusted,28.748728109378188,32.091505999561534,False,resilient
Al Raha Beach,apartment,2 beds,355,15820.34264546998,17778.83587078928,6267.0374606055575,133.73,102.728,186.75,2224000.0,66,18505.21632660932,94,12916.874357295055,16.97102105375783,-18.352752233253987,35.32377328701182,29.583333333333332,40.128,1.3564394366197183,lag_adjusted,32.68125519419258,46.79451894757662,False,resilient
Al Raha Beach,apartment,3 beds,151,17133.49579087284,17729.95945825228,5157.234443079073,175.88,138.68,244.45,2840000.0,20,18336.356746397374,40,14289.816872761297,7.020522666281037,-16.597190397224093,23.61771306350513,12.583333333333334,12.159999999999998,0.9663576158940396,lag_adjusted,21.216721266803496,30.085927734692785,False,resilient
Al Raha Beach,apartment,4 beds,13,16675.61562673579,17932.975966567235,5421.699356541864,227.48,213.098,356.968,4150000.0,8,14869.679707581203,2,14788.66277987307,-10.829800587746552,,-10.829800587746552,1.0833333333333333,4.864,4.489846153846154,lag_adjusted,-12.22077353246922,1.573247267019573,True,panic distribution
Al Raha Beach,apartment,studio,29,18014.660132111658,18938.736451961024,2722.685178769099,51.03,46.922,64.72200000000001,948710.0,15,20492.00518582541,1,16471.245114461195,13.751827875441357,,13.751827875441357,2.4166666666666665,9.12,3.7737931034482757,lag_adjusted,9.061881685107466,16.50431577160596,False,resilient
Al Raha Beach,duplex,1 bed,15,20737.73245765641,18675.477063015125,4099.625359639698,144.65,91.598,144.706,2999713.0,16,21021.053747667687,0,,1.3662115209065462,,1.3662115209065462,1.25,9.728,7.7824,lag_adjusted,-1.8746434866439676,2.4413835590271438,True,resilient
