district,ptype,layout,n_pre,psm_pre,psm_pre_mean,psm_pre_std,sqm_med,sqm_p10,sqm_p90,price_pre,n_post,psm_post,n_ctrl,psm_ctrl,naive_change_pct,seasonal_change_pct,excess_change_pct,vol_pre_monthly,vol_post_monthly,vol_change_ratio,window_label,regime_class
Al Jubail Island,villa,3 beds,37,17054.39916039881,17282.856305323723,4106.048207503458,208.95,204.85399999999998,235.58,3700000.0,12,18706.925467061417,7,13038.086802480071,9.689736302759089,,9.689736302759089,3.0833333333333335,3.84,1.2454054054054053,raw_pivot,resilient
Al Jubail Island,villa,4 beds,60,16674.027627223622,17789.574972118615,4744.77765576648,355.58000000000004,283.611,574.0,6300000.0,23,17243.078135776923,15,16323.865491348351,3.4127957640193385,-2.1000453142080877,5.512841078227426,5.0,7.36,1.472,raw_pivot,resilient
Al Maryah Island,apartment,1 bed,144,18903.799591574792,25712.1786076145,15312.051028267582,66.72,57.523,91.0,1200000.0,53,43188.82490552456,52,28367.081113084663,128.46637098699105,50.06020866687324,78.40616232011782,12.0,16.96,1.4133333333333333,raw_pivot,resilient
Al Maryah Island,apartment,2 beds,100,15962.27023279141,25451.750110454723,14779.210437706697,115.61,87.83,178.64,1845000.0,35,46305.77536515753,32,31041.35916359164,190.09517249013385,94.46706960156047,95.62810288857338,8.333333333333334,11.2,1.3439999999999999,raw_pivot,resilient
Al Maryah Island,apartment,3 beds,57,27540.193670944725,32328.838641846214,10711.992953739697,202.2,192.524,275.46,5449000.0,16,44707.65137338222,37,26651.43331948484,62.33600935257544,-3.227139075632357,65.5631484282078,4.75,5.12,1.0778947368421052,raw_pivot,resilient
Al Maryah Island,apartment,studio,378,16814.175652086375,16491.096637042017,4352.890439256009,33.74,31.78,49.75,656000.0,23,23298.217179902756,65,16336.532570961812,38.56294630187127,-2.84071661321853,41.403662915089804,31.5,7.36,0.23365079365079366,raw_pivot,stable/up
Al Maryah Island,duplex,2 beds,44,12595.948516358105,24674.85488022057,23243.84755569882,136.03,129.0,179.0,1735000.0,10,49942.562098799885,10,11842.558926686172,296.49703262870986,-5.981205692398007,302.4782383211079,3.6666666666666665,3.2,0.8727272727272728,raw_pivot,resilient
Al Raha Beach,apartment,1 bed,158,18122.9556307397,17272.016620598508,2416.450988762447,86.05,72.677,98.808,1500000.0,137,20207.329421240363,30,14649.805274510698,11.501290589517321,-19.164370464704618,30.66566105422194,13.166666666666666,43.84,3.3296202531645576,raw_pivot,resilient
Al Raha Beach,apartment,2 beds,355,15820.34264546998,17778.83587078928,6267.0374606055575,133.73,102.728,186.75,2224000.0,105,18759.119016188422,94,12916.874357295055,18.575933761838815,-18.352752233253987,36.928685995092806,29.583333333333332,33.6,1.135774647887324,raw_pivot,resilient
Al Raha Beach,apartment,3 beds,151,17133.49579087284,17729.95945825228,5157.234443079073,175.88,138.68,244.45,2840000.0,25,18565.70240396892,40,14289.816872761297,8.359103306045878,-16.597190397224093,24.95629370326997,12.583333333333334,8.0,0.6357615894039734,raw_pivot,resilient
Al Raha Beach,apartment,4 beds,13,16675.61562673579,17932.975966567235,5421.699356541864,227.48,213.098,356.968,4150000.0,12,16709.468254563726,2,14788.66277987307,0.20300676500157877,,0.20300676500157877,1.0833333333333333,3.84,3.5446153846153847,raw_pivot,resilient
Al Raha Beach,apartment,studio,29,18014.660132111658,18938.736451961024,2722.685178769099,51.03,46.922,64.72200000000001,948710.0,17,20011.89652964528,1,16471.245114461195,11.086728158548432,,11.086728158548432,2.4166666666666665,5.44,2.251034482758621,raw_pivot,resilient
Al Raha Beach,duplex,1 bed,15,20737.73245765641,18675.477063015125,4099.625359639698,144.65,91.598,144.706,2999713.0,16,21021.053747667687,0,,1.3662115209065462,,1.3662115209065462,1.25,5.12,4.096,raw_pivot,resilient
Al Raha Beach,duplex,2 beds,21,12503.146765125452,13573.965975920348,3608.039807887243,127.73,105.58,167.9,1550000.0,9,21989.67927883731,3,12289.657780298732,75.87315970866054,,75.87315970866054,1.75,2.88,1.6457142857142857,raw_pivot,resilient
Al Raha Beach,duplex,3 beds,24,14813.165706558542,15018.733409218594,5132.989970306296,180.26,134.268,378.654,2771250.0,16,14596.900624577978,3,6071.164607749974,-1.45995181762405,,-1.45995181762405,2.0,5.12,2.56,raw_pivot,resilient
Al Reef,apartment,1 bed,64,8703.097081596188,8939.918539786133,1516.1538915714175,76.475,67.13,94.38499999999999,655000.0,12,11276.184955886165,19,8577.666874610106,29.56519788491272,-1.4412134647023622,31.00641134961508,5.333333333333333,3.84,0.72,raw_pivot,resilient
Al Reef,apartment,2 beds,149,7631.403224267862,8077.71634541589,1285.2546356041355,106.44,104.11,113.14,850000.0,28,11032.08864500472,52,7076.260876695608,44.5617315819806,-7.274446536999923,51.83617811898053,12.416666666666666,8.96,0.7216107382550336,raw_pivot,resilient
Al Reef,townhouse / attached villa,2 beds,94,11543.05200341006,11713.637124746454,1542.3251167918195,117.3,111.9,117.3,1320000.0,14,13533.674339300938,35,10741.687979539642,17.24519940915805,-6.9423929098966,24.18759231905465,7.833333333333333,4.48,0.5719148936170213,raw_pivot,resilient
Al Reef,townhouse / attached villa,3 beds,53,10051.694428489374,9910.26627507505,1317.0015881713146,174.1,174.1,174.1,1750000.0,14,11286.616886846641,15,9477.311889718552,12.285714285714299,-5.714285714285716,18.000000000000014,4.416666666666667,4.48,1.0143396226415096,raw_pivot,resilient
Al Reem Island,apartment,1 bed,2264,16293.208890136739,16821.640579256615,4638.681758741079,80.35,64.47,101.41,1280500.0,763,18001.171522979876,317,13415.101571483328,10.482665780324396,-17.664459702567868,28.147125482892264,188.66666666666666,244.16,1.2941342756183747,raw_pivot,resilient
Al Reem Island,apartment,2 beds,2016,15448.331499191021,16045.55063025645,4503.0144936975385,126.03999999999999,72.7,156.17,2003469.5,731,19244.76438000137,272,13828.971225724334,24.57503505157923,-10.482428303351,35.057463354930235,168.0,233.92,1.3923809523809523,raw_pivot,resilient
Al Reem Island,apartment,3 beds,770,14843.56368147559,15465.435184145148,4247.766479828958,177.92000000000002,103.289,269.17,2800000.0,181,17854.857289133495,144,14941.89552896894,20.2868642077908,0.6624544455996473,19.624409762191153,64.16666666666667,57.92,0.9026493506493506,raw_pivot,resilient
Al Reem Island,apartment,4 beds,171,13993.069892473119,14665.176691933988,3157.215707112977,221.0,162.61,248.0,3050000.0,25,15069.462365591398,39,16363.198757763976,7.692325425296942,16.937876273781427,-9.245550848484484,14.25,8.0,0.5614035087719298,raw_pivot,soft
Al Reem Island,apartment,studio,705,16661.957411957414,17219.685276734643,3955.2000439607987,47.5,39.44,59.62,838850.0,276,18169.43004873763,53,13600.0,9.047392209143347,-18.37693697236321,27.424329181506558,58.75,88.32,1.5033191489361701,raw_pivot,resilient
Al Saadiyat Island,apartment,1 bed,647,26361.740384615383,31000.626543043767,12594.740139514153,84.08,70.44,104.22,2260000.0,277,39988.590075391025,233,25216.404143607208,51.69176803944333,-4.344691299959047,56.03645933940238,53.916666666666664,88.64,1.6440185471406492,raw_pivot,resilient
Al Saadiyat Island,apartment,2 beds,701,28875.578295303065,33614.39124632503,16535.90489437966,141.78,109.7,214.42,3900216.0,311,40675.397166165734,238,26408.382533708347,40.86435516611642,-8.544229786026602,49.408584952143016,58.416666666666664,99.52,1.7036233951497861,raw_pivot,resilient
Al Saadiyat Island,apartment,3 beds,316,26454.989294568404,34057.757583401595,17488.21996709797,209.57,154.44,282.14,4994642.5,105,41363.50510884052,64,24739.278508163952,56.3542689368355,-6.485395882419476,62.83966481925498,26.333333333333332,33.6,1.2759493670886077,raw_pivot,resilient
