district,op_pre,op_share,allocated_pipeline_units,ready_stock_12m,supply_overhang_ratio
Al Jubail Island,141,0.010224059169023277,147.6763106373722,96.0,1.5382949024726271
Al Maryah Island,323,0.023421071713436298,338.2939598288739,477.0,0.7092116558257314
Al Raha Beach,327,0.02371111594518164,342.4833587122036,602.0,0.568909233741202
Al Reem Island,3802,0.2756870422739468,3982.0236386048878,2922.0,1.3627733191666282
Al Saadiyat Island,1744,0.12645928504096876,1826.577913131753,372.0,4.910155680461702
Al Shamkha,332,0.024073671234863318,347.7201073163658,22.0,15.805459423471172
Fahid Island,1182,0.08570807048074831,1237.9673700239287,,
Ghantout,571,0.04140381408164745,598.0366905953158,,
Hudayriyat Island,1182,0.08570807048074831,1237.9673700239287,,
Yas Island,3279,0.23776375897324342,3434.259734609528,719.0,4.776439130194059
Zayed City,908,0.06584004060619245,950.9935465158437,65.0,14.630669946397596
