district,ptype,layout,tier,n_post_ready,psm_post_ready,sqm_med,sqm_p10,sqm_p90,price_med,all_in_entry,gross_yield_pct,adjusted_gross_yield_pct,growth_pct_applied,rent_age_months,service_charge_aed,net_yield_pct,net_yield_adj_pct,source
Al Reem Island,apartment,studio,affordable,11,11193.075734157652,47.8,39.29,53.47,567184.8,589872.192,7.9,8.769000000000002,11.0,12,6174.2303999999995,6.0177166066509535,6.7948031451124935,Sands of Wealth 2025
Yas Island,apartment,studio,midtier,14,20401.817783712024,44.105000000000004,43.48,48.474,982797.0,1022108.88,7.4,8.51,15.0,12,8545.43196,5.781248821554119,6.773844975400271,Sands of Wealth 2025 + MPInvestments
Yas Island,apartment,1 bed,midtier,18,19505.491180859844,79.13499999999999,64.872,92.02900000000002,1460000.0,1518400.0,7.1,8.165,15.0,12,15332.564519999996,5.339254180716542,6.291609949947312,MPInvestments / Bayut H1 2025
Al Reem Island,apartment,1 bed,midtier,76,15594.18598187983,81.0,64.845,92.61,1203500.0,1251640.0,7.49,8.3139,11.0,12,15693.911999999998,5.443920576204021,6.180677306973251,Sands of Wealth 2025
Al Reem Island,apartment,2 beds,affordable,83,13993.821092543181,124.0,87.43,155.736,1769000.0,1839760.0,7.0,7.7700000000000005,11.0,12,16016.831999999999,5.38902182893421,6.077579521241901,MPInvestments 2025
Al Reef,apartment,2 beds,affordable,9,10970.142134885053,105.3,104.106,111.68400000000001,1175000.0,1222000.0,7.2,7.992000000000001,11.0,12,13601.390399999997,5.325418134206221,6.033648903436988,H2O Properties 2025
Yas Island,apartment,2 beds,midtier,20,18754.892655308424,114.84,114.818,167.83,2374829.5,2469822.68,6.7,7.704999999999999,15.0,12,22250.47968,5.0904523423114725,5.989154265388396,MPInvestments / Bayut H1 2025
Al Raha Beach,apartment,1 bed,midtier,14,16690.719717242282,86.77,82.193,93.384,1501000.0,1561040.0,6.8,7.548,11.0,12,16811.86104,5.003803807717932,5.672688423102548,Bayut H1 2025 estimate
Al Raha Beach,apartment,2 beds,midtier,11,17986.855759252852,144.55,120.83,164.89,2600000.0,2704000.0,6.4,7.104000000000001,11.0,12,28006.8516,4.687320576923077,5.316859038461539,Bayut H1 2025 estimate
Al Reem Island,apartment,3 beds,midtier,28,16880.495775946627,156.355,119.672,194.29100000000003,2782500.0,2893800.0,6.3,6.993,11.0,12,30294.093959999995,4.586791797636326,5.206493720713248,Bayut H1 2025 approx
Al Saadiyat Island,apartment,1 bed,midtier,5,18197.958277851754,90.12,84.7,95.31,1640000.0,1705600.0,5.8,6.612,14.0,12,17460.93024,4.162797242026266,4.888912626641651,MPInvestments 2025
Al Raha Beach,apartment,3 beds,midtier,6,15853.838537174433,177.485,161.19,184.895,2919500.0,3036280.0,5.8,6.438000000000001,11.0,12,34388.07372,4.053965914869511,4.624485145638743,Bayut H1 2025 estimate
Al Maryah Island,apartment,studio,luxury,7,23738.280470775982,48.57,33.120000000000005,49.589999999999996,1100000.0,1144000.0,5.8,6.264,8.0,12,14638.609439999998,3.906939734265734,4.321862811188811,Bayut 2025 estimate
Yas Island,villa,4 beds,luxury,6,23091.5559080099,204.155,204.13,414.38,4970000.0,5168800.0,5.2,5.9799999999999995,15.0,12,61530.68375999999,3.459575070422536,4.157075070422533,MPInvestments 2025
Al Jubail Island,villa,4 beds,luxury,5,22491.062761902507,384.07,323.24,421.918,9500000.0,9880000.0,4.8,5.232,9.0,12,115755.62543999999,3.1206920502024293,3.506999742510122,Inferred from Saadiyat villa comp
Al Saadiyat Island,apartment,2 beds,luxury,5,24098.403225806447,140.55,131.106,184.8,4482303.0,4661595.12,2.5,2.8500000000000005,14.0,12,42360.6456,1.3268612472290384,1.6398420164598078,Sands of Wealth 2025
