district,project,launch_year,off_post_n,secondary_share_pct,baseline_secondary_pct,excess_over_baseline_pp
Zayed City,Bloom Living - Olvera,2024,6,100.0,26.1,73.9
Zayed City,Bloom Living - Seville,2024,11,90.9090909090909,26.1,64.8
Zayed City,Bloom Living - Toledo,2022,11,100.0,35.5,64.5
Zayed City,Bloom Living - Granada 1,2024,11,100.0,35.6,64.4
Zayed City,Bloom Living - Casares,2023,8,100.0,37.3,62.7
Al Saadiyat Island,Louvre Residences,2022,10,100.0,39.0,61.0
Yas Island,Ansam - Phase 2 - The Golf Collection,2022,44,95.45454545454544,35.5,60.0
Yas Island,Noya - Phase 5 - Yas Park Views,2022,19,100.0,41.0,59.0
Yas Island,The Sustainable City - Yas Island - Phase 1,2023,36,100.0,41.0,59.0
Al Saadiyat Island,Saadiyat Lagoons - Phase 2 - Ethir,2023,6,100.0,41.0,59.0
Al Saadiyat Island,Saadiyat Grove - The Source,2023,5,100.0,41.0,59.0
Al Shamkha,Reeman Living 2,2023,24,95.83333333333334,37.3,58.5
Yas Island,Noya - Phase 4 - Yas Park Gate,2022,15,93.33333333333331,35.5,57.8
Al Saadiyat Island,Nouran Living,2024,26,92.3076923076923,35.6,56.7
Al Shamkha,Reeman Living,2023,51,92.15686274509804,41.0,51.2
Al Saadiyat Island,Saadiyat Lagoons - Phase 2 - Al Sidr,2023,17,88.23529411764706,41.0,47.2
Al Saadiyat Island,Manarat Living I,2023,16,87.5,41.0,46.5
Al Saadiyat Island,Manarat Living II,2024,13,76.92307692307693,35.6,41.3
Yas Island,Gardenia Bay,2023,124,75.80645161290323,37.3,38.5
Al Saadiyat Island,Saadiyat Grove - The Arthouse,2024,8,62.5,26.1,36.4
Al Saadiyat Island,Saadiyat Lagoons - Wilds - Phase 1,2022,13,76.92307692307693,41.0,35.9
Yas Island,Sea La Vie,2023,14,71.42857142857143,35.6,35.8
Al Saadiyat Island,Saadiyat Grove - The Heart,2022,43,65.11627906976744,35.5,29.6
Al Saadiyat Island,Saadiyat Grove - The Source Residences,2023,12,66.66666666666666,37.3,29.4
Yas Island,Sama Yas,2024,6,33.33333333333333,35.6,-2.3
Hudayriyat Island,Nawayef West B,2024,5,20.0,26.1,-6.1
Al Saadiyat Island,Mamsha Gardens B,2024,11,18.181818181818183,26.1,-7.9
Al Reem Island,Vista 3,2024,6,16.666666666666664,26.1,-9.4
Hudayriyat Island,Al Naseem,2024,67,4.477611940298507,26.1,-21.6
Yas Island,Icon,2024,7,0.0,26.1,-26.1
Yas Island,Mayyas at the Bay,2024,14,0.0,35.6,-35.6
