quarter,Mayan (Anuj's position),Al Reem Island 2 beds,Al Reem Island 1 bed,Al Reem Island 3 beds,Yas Island 2 beds
2022Q1,16638.644841764268,10656.256594218188,9175.76355823946,10090.460987931518,16740.88401552816
2022Q2,16699.782415645226,10529.518579935178,10435.301132975552,10632.911392405063,16802.836353573897
2022Q3,16719.938873526415,10080.645161290324,9921.92582953806,10544.738195750115,16378.172249822568
2022Q4,16869.54256065758,10427.005293376875,10350.516221265003,13147.580702629515,15063.022316548628
2023Q1,16197.35858460005,10038.749037636175,9980.011681297347,10638.358268446667,12747.220949394032
2023Q2,14391.62668992586,11155.839964375344,11886.943706915246,12021.504788719543,14672.020414591427
2023Q3,15760.17452794704,9729.544532279851,8690.47619047619,11468.070226836884,13273.672663668167
2023Q4,17439.52533089913,10034.847675859877,9736.540664375716,11290.590376613076,13949.780789159027
2024Q1,17913.029154999174,11486.433795957366,10210.738602723504,11036.18929786576,14280.913978494624
2024Q2,18420.08401680336,12486.554646265817,10621.348911311736,11702.658844089376,13297.505856414497
2024Q3,18605.802985361734,11194.481423211908,10658.759416573168,11273.840062208954,13703.703703703704
2024Q4,18395.113147299737,10847.869478434435,10365.853658536584,11416.338701530143,14220.183486238531
2025Q1,18795.534312137992,11585.289618450857,11068.249476817873,12109.851544007428,15537.885019650856
2025Q2,20417.853751187085,12566.422519029155,12275.939099452473,13104.887637722662,15942.99310809925
2025Q3,22185.20481562808,13993.06875,14072.868708720067,15026.987242394503,19003.800760152033
2025Q4,25719.60198067539,13993.06875,14354.748032965716,13692.444975205315,20266.08029291662
2026Q1,28032.61977573904,14035.007256072317,14651.529096709968,14081.442750797589,20158.244709895705
2026Q2,23229.993076593535,13678.99271040424,14720.275095886787,16620.498614958447,18592.707149267124
