shortlist_cell,district,layout,project,n_post_event,median_psm,psm_p10,psm_p90,median_ticket,ticket_min,ticket_max,median_sqm,last_print
Al Reem Island 2 beds,Al Reem Island,2 beds,Radiant Square,22,13614.0,10956.0,13979.0,1435810.0,756246.0,2064160.0,102.6,2026-05-21
Al Reem Island 2 beds,Al Reem Island,2 beds,"Marina Square, Paragon Bay Mall",13,13016.0,10948.0,15489.0,1670000.0,1225000.0,2325002.0,126.0,2026-05-21
Al Reem Island 2 beds,Al Reem Island,2 beds,"Sun & Sky, Boutik Mall",6,18181.0,16719.0,19882.0,2505000.0,2050000.0,2900000.0,138.5,2026-05-21
Al Reem Island 2 beds,Al Reem Island,2 beds,Mangrove Place,6,14071.0,10935.0,15956.0,1367500.0,1050000.0,1700000.0,97.9,2026-05-20
Al Reem Island 2 beds,Al Reem Island,2 beds,The Gate and Arc Towers,5,15044.0,14079.0,16517.0,2000000.0,1650000.0,2270000.0,129.0,2026-05-18
Al Reem Island 2 beds,Al Reem Island,2 beds,"The Bridges (Towers 1, 2, and 3)",4,19126.0,18401.0,20075.0,1800000.0,1800000.0,1900000.0,94.1,2026-05-21
Al Reem Island 2 beds,Al Reem Island,2 beds,Pixel,4,19819.0,17271.0,20551.0,2387500.0,2300000.0,2850000.0,118.0,2026-05-18
Al Reem Island 2 beds,Al Reem Island,2 beds,Canal Residence,4,20729.0,18485.0,22807.0,3168000.0,2870000.0,3325000.0,155.7,2026-05-22
Al Reem Island 1 bed,Al Reem Island,1 bed,"Marina Square, Paragon Bay Mall",22,14743.0,11877.0,16462.0,1215000.0,861110.0,1763127.0,81.0,2026-05-22
Al Reem Island 1 bed,Al Reem Island,1 bed,Hydra Avenue (Hydra Towers),6,9710.0,9710.0,13098.0,793986.0,514630.0,1200000.0,75.8,2026-06-01
Al Reem Island 1 bed,Al Reem Island,1 bed,Beach Towers,6,16156.0,15229.0,17008.0,1475000.0,1250000.0,1685000.0,91.2,2026-05-18
Al Reem Island 1 bed,Al Reem Island,1 bed,Radiant Square,6,14821.0,12843.0,18560.0,1303500.0,890785.0,1640000.0,85.4,2026-05-22
Al Reem Island 1 bed,Al Reem Island,1 bed,The Gate and Arc Towers,5,15901.0,12581.0,19785.0,1100000.0,950000.0,1325000.0,83.3,2026-05-22
Al Reem Island 1 bed,Al Reem Island,1 bed,Marina Bay by DAMAC,4,13107.0,11423.0,14248.0,1053500.0,913000.0,1160000.0,81.5,2026-05-08
Al Reem Island 1 bed,Al Reem Island,1 bed,Shams Meera Towers,3,17757.0,17475.0,19128.0,1140000.0,1100000.0,1250000.0,64.2,2026-05-13
Al Reem Island 1 bed,Al Reem Island,1 bed,Oceanscape,3,12480.0,11180.0,15540.0,1092387.0,1089000.0,1200000.0,87.5,2026-05-14
Al Reem Island 3 beds,Al Reem Island,3 beds,Leaf Tower,10,23839.0,23575.0,24109.0,2882078.0,2716919.0,3967798.0,122.5,2026-06-01
Al Reem Island 3 beds,Al Reem Island,3 beds,Radiant Square,4,12519.0,7524.0,16149.0,2022001.0,854000.0,2900000.0,158.6,2026-04-28
Al Reem Island 3 beds,Al Reem Island,3 beds,Mangrove Place,2,16013.0,15637.0,16390.0,2447500.0,2395000.0,2500000.0,153.1,2026-05-18
Al Reem Island 3 beds,Al Reem Island,3 beds,Amaya Towers,2,16205.0,15873.0,16537.0,2925000.0,2850000.0,3000000.0,180.5,2026-06-01
Al Reem Island 3 beds,Al Reem Island,3 beds,"Sun & Sky, Boutik Mall",2,17807.0,17768.0,17845.0,2782500.0,2775000.0,2790000.0,156.3,2026-05-21
Al Reem Island 3 beds,Al Reem Island,3 beds,"Marina Square, Paragon Bay Mall",2,11792.0,11667.0,11918.0,1875000.0,1850000.0,1900000.0,159.0,2026-04-23
Al Reem Island 3 beds,Al Reem Island,3 beds,Beach Towers,1,13247.0,13247.0,13247.0,3000000.0,3000000.0,3000000.0,226.5,2026-04-17
Al Reem Island 3 beds,Al Reem Island,3 beds,Oasis Residences - Building 2,1,12125.0,12125.0,12125.0,5497260.0,5497260.0,5497260.0,453.4,2026-04-30
Yas Island 2 beds,Yas Island,2 beds,Ansam - Phase 2 - The Golf Collection,16,18238.0,17022.0,24317.0,2283124.0,2036959.0,3800000.0,114.8,2026-05-21
Yas Island 2 beds,Yas Island,2 beds,Mayan,2,23230.0,21855.0,24605.0,3425000.0,3250000.0,3600000.0,148.8,2026-05-21
Yas Island 2 beds,Yas Island,2 beds,Water's Edge - Precinct B,2,19859.0,19721.0,19997.0,2137500.0,1975000.0,2300000.0,107.6,2026-04-23
