district,ptype,layout,tier,n_post_ready,psm_post_ready,sqm_med,price_med,all_in_entry,gross_yield_pct,service_charge_aed,net_yield_pct,stress_net_yield_pct,source
Al Reem Island,apartment,studio,affordable,19,13945.23326572008,47.8,567184.8,589872.192,7.9,6174.2303999999995,6.0177166066509535,4.958053145112492,Sands of Wealth 2025
Masdar City,apartment,studio,midtier,6,21875.337499035715,30.22,700000.0,728000.0,7.5,5855.185439999999,5.902447054945055,4.896437439560439,H2O Properties 2025
Al Reem Island,apartment,1 bed,affordable,193,15000.0,80.0,1200000.0,1248000.0,7.49,10333.439999999999,5.8697884615384615,4.865120192307693,Sands of Wealth 2025
Al Reef,apartment,1 bed,affordable,12,11276.184955886165,77.18,845000.0,878800.0,7.6,9969.18624,5.661744852071005,4.642321775147929,H2O Properties 2025
Yas Island,apartment,studio,midtier,29,16618.567218317843,44.11,832830.0,866143.2000000001,7.4,8546.40072,5.630588553948123,4.637992400101969,Sands of Wealth 2025 + MPInvestments
Al Reem Island,apartment,2 beds,affordable,192,14020.720070081115,123.735,1682390.0,1749685.6,7.0,15982.602479999998,5.346159705492233,4.407217397799925,MPInvestments 2025
Yas Island,apartment,1 bed,midtier,55,18912.22120777357,79.14,1470000.0,1528800.0,7.1,15333.53328,5.346060094191521,4.393704324960752,MPInvestments / Bayut H1 2025
Al Reef,apartment,2 beds,affordable,28,11032.08864500472,106.515,1195000.0,1242800.0,7.2,13758.32952,5.331418609591246,4.365649378822015,H2O Properties 2025
Yas Island,apartment,2 beds,midtier,50,18754.892655308424,114.84,2235000.0,2324400.0,6.7,22250.47968,5.034089241094475,4.1353873180175516,MPInvestments / Bayut H1 2025
Al Raha Beach,apartment,1 bed,midtier,37,16693.644113521095,85.03,1500000.0,1560000.0,6.8,16474.73256,5.02469663076923,4.112581246153846,Bayut H1 2025 estimate
Al Raha Beach,apartment,2 beds,midtier,34,17222.876133767222,132.755,2394500.0,2490280.0,6.4,25721.546759999997,4.690199224183625,3.831737685722087,Bayut H1 2025 estimate
Al Saadiyat Island,apartment,studio,midtier,6,21909.201459262265,49.34,1100000.0,1144000.0,6.0,9559.723680000001,4.5297444335664325,3.7249367412587406,Sands of Wealth 2025
Al Reem Island,apartment,3 beds,midtier,58,15792.73977564921,156.26,2500000.0,2600000.0,6.3,30275.687519999996,4.4692043261538466,3.624156249230769,Bayut H1 2025 approx
Al Raha Beach,apartment,3 beds,midtier,7,16604.780084723603,178.58,3175000.0,3302000.0,5.8,34600.23216,4.138681642640823,3.3607008734100536,Bayut H1 2025 estimate
Al Saadiyat Island,apartment,1 bed,midtier,16,18076.714355588552,84.7,1500000.0,1560000.0,5.8,16410.7944,4.134564461538462,3.356583692307692,MPInvestments 2025
Al Maryah Island,apartment,1 bed,midtier,8,21645.468527109522,65.44,1375000.0,1430000.0,5.5,12679.130879999999,4.031616721678322,3.293876337062937,Bayut 2025 estimate
Al Maryah Island,apartment,2 beds,luxury,11,53851.80303030303,174.0,10662657.0,11089163.280000001,5.0,52442.208,3.998239824817512,3.3275667478944353,Bayut 2025 estimate
Yas Island,villa,4 beds,midtier,8,21677.894875190766,253.715,5895000.0,6130800.0,5.2,49157.78868,3.8481831297709914,3.1506831297709925,MPInvestments 2025
Al Maryah Island,apartment,studio,luxury,21,23322.299127294613,49.12,1000000.0,1040000.0,5.8,14804.375039999999,3.7630408615384607,2.985060092307692,Bayut 2025 estimate
Al Jubail Island,villa,4 beds,luxury,7,22554.070416181952,384.07,9500000.0,9880000.0,4.8,115755.62543999999,3.1206920502024293,2.4768458963562754,Inferred from Saadiyat villa comp
Al Saadiyat Island,apartment,2 beds,luxury,7,23756.182266009848,167.15,4482303.0,4661595.12,2.5,50377.67279999999,1.154880905873267,0.8195443674117284,Sands of Wealth 2025
