district,psm_now,pct_vs_own_history,yoy_pct,vol_change_pct,cycle,deals_12m
Al Kasir,26061.93209466304,75.86206896551724,-6.040518914780235,0.0,cooling,48
Mohamed Bin Zayed City,4022.30829242057,50.0,-8.341772066752073,58.823529411764696,cooling,54
Al Jimi,2702.702702702703,80.0,-8.520105579479475,-8.823529411764708,cooling,31
Al Khibeesi,2542.758491475068,50.0,-26.165527221419126,10.000000000000009,cooling,33
Al Maryah Island,41164.50160680223,100.0,-28.27583826027984,129.66666666666669,cooling,689
Ghadeer Al Tayr,19393.459901582657,93.10344827586206,53.2898394552797,-2.500000000000002,late-cycle/overheating,117
Bani Yas,12153.588366847602,96.66666666666667,51.87002855394653,101.96078431372548,late-cycle/overheating,103
Al Raha Beach,20319.92759410105,100.0,40.497807168248315,75.39823008849558,late-cycle/overheating,991
Al Reem Island,18818.90473137742,100.0,39.86393677373257,142.8196721311475,late-cycle/overheating,7406
Al Saadiyat Island,33383.057264552765,96.66666666666667,31.233519705417766,-12.68403171007928,late-cycle/overheating,2313
Al Reef,11369.692662995203,100.0,25.41377596488017,-6.666666666666665,late-cycle/overheating,462
Yas Island,24179.5607660116,96.66666666666667,25.078577945319424,36.531061022539866,late-cycle/overheating,4967
Hudayriyat Island,22524.345516630838,100.0,24.187292588000965,998.5294117647059,late-cycle/overheating,2241
Khalifa City,14308.079912512434,100.0,21.598989370410095,125.05446623093684,late-cycle/overheating,1033
Al Samhah,14649.68152866242,93.10344827586206,21.063311688311682,47.61904761904763,late-cycle/overheating,93
Al Layyan,10754.151919411925,96.66666666666667,18.79949843072344,-16.387959866220736,late-cycle/overheating,250
Masdar City,21270.066296960344,100.0,17.216117216117222,432.5581395348837,late-cycle/overheating,229
Zayed City,16305.43955220939,100.0,9.399455239502231,48.01587301587303,late-cycle/overheating,1119
Rabdan,12927.057233689044,96.15384615384616,6.649233451263914,-43.39622641509434,late-cycle/overheating,90
Al Shamkha,14161.670456894768,100.0,4.2459040899050615,156.87203791469196,late-cycle/overheating,542
Al Jubail Island,18664.75233309404,89.47368421052632,15.616413510901307,42.68292682926828,mid-cycle,234
Al Bahyah,5340.299422615094,60.0,6.347782884924191,162.2596153846154,mid-cycle,1091
