district,launch_year,off_plan_psm,ready_psm_next1to3y,uplift_pct,off_plan_n,ready_next_n
Al Jubail Island,2022,13140.915135694231,23115.617489066048,75.9056903600105,111,61
Al Jubail Island,2023,15940.20711926843,22652.12070716276,42.10681541133181,568,113
Al Jubail Island,2024,15763.671808864648,22911.25706430426,45.34213438407282,208,109
Al Jubail Island,2025,17054.39916039881,22066.757611513054,29.390413605148847,145,52
Al Layyan,2020,8854.66147163904,6873.789344991865,-22.370952667042012,176,308
Al Layyan,2021,8912.44471150662,7605.52680492677,-14.66396649723417,188,536
Al Layyan,2022,8838.90381792152,8422.6356817179,-4.7094995576216885,224,706
Al Maryah Island,2025,22457.56467023848,25153.374233128838,12.00401558439208,356,83
Al Raha Beach,2020,12653.921774378008,10950.237255140528,-13.463687776916288,44,673
Al Raha Beach,2021,11653.485815737471,12029.761490855992,3.2288680062610764,122,925
Al Raha Beach,2022,10710.71752951862,12985.965478302953,21.24272199797794,145,1275
Al Raha Beach,2023,11439.15420023015,13650.558940083987,19.331890287914334,35,1145
Al Raha Beach,2025,18469.53045765358,16719.752081810926,-9.473864968329837,218,152
Al Reef,2020,7671.666184111053,8396.087239834618,9.442812530398271,174,790
Al Reef,2021,7567.156806433085,8187.772925764192,8.20144388713475,68,887
Al Reem Island,2019,12378.951727773128,10790.396547073104,-12.832711651471907,262,2945
Al Reem Island,2020,12950.046343615873,10419.281948280192,-19.542512267404366,654,2807
Al Reem Island,2021,13876.52967336298,10612.33718358319,-23.523118291208277,597,3795
Al Reem Island,2022,12549.012828048824,11875.742280285036,-5.3651275760825845,713,5158
Al Reem Island,2023,11428.424908335546,12672.441450112288,10.885284295558485,1846,4949
Al Reem Island,2024,11519.5121705389,13691.026827012027,18.850751874951488,1120,3171
Al Reem Island,2025,16372.33259749816,14145.209271009626,-13.602968991900754,3049,942
Al Saadiyat Island,2019,16639.866665739744,15595.018416204523,-6.279186429338923,34,616
Al Saadiyat Island,2020,16315.068685771304,16404.365220916094,0.5473255238126473,324,429
Al Saadiyat Island,2021,16633.78617838157,17000.715819613455,2.2059297702694547,229,593
Al Saadiyat Island,2022,25632.811218632116,17722.115997450604,-30.861598260558097,533,805
Al Saadiyat Island,2023,17039.478804604125,18536.37436099096,8.784867034679312,1719,711
Al Saadiyat Island,2024,21840.02287021155,19602.029977303737,-10.247209475042707,2105,442
Al Saadiyat Island,2025,28100.419139218906,23905.593835707627,-14.927981261520362,1838,94
Al Samhah,2019,11612.903225806453,8903.225806451614,-23.33333333333334,111,57
Al Samhah,2020,11783.43949044586,8654.201767002261,-26.556233653007844,249,66
Al Samhah,2021,11974.522292993632,8709.677419354839,-27.264927934111192,51,78
Al Shamkha,2022,8652.513794492947,8857.26223429689,2.366346297353017,39,58
Al Shamkha,2023,13298.533984895603,10057.394196213056,-24.372158557956947,578,63
Al Shamkha,2024,12798.756108396268,10083.341906849699,-21.216235222774483,413,42
Bani Yas,2022,11553.273427471117,7797.419734819969,-32.50900029528049,53,96
Khalifa City,2019,11157.134433962265,7003.794335466217,-37.2258676551687,157,476
Khalifa City,2020,9885.347884282355,7464.607464607464,-24.488166203273977,516,353
Khalifa City,2021,12554.31343598397,7867.263697940287,-37.33417810494808,41,366
Khalifa City,2022,10794.406096852506,9609.949123798755,-10.97287764075433,114,465
Khalifa City,2023,10504.68085106383,10397.746819148917,-1.0179655472739357,313,426
Khalifa City,2024,10650.470178266567,11285.729220443376,5.9646103086896884,310,284
Khalifa City,2025,12852.665075969864,11578.947368421052,-9.91014470555398,466,73
Masdar City,2022,13183.103448275862,14557.523679866394,10.425619710738765,95,204
Masdar City,2023,13895.925012333499,15364.547819677004,10.568730084827106,87,234
Masdar City,2024,12308.378305857656,15364.547819677004,24.82999334172962,50,234
Yas Island,2019,12295.986571036168,12433.978873239435,1.1222548219783857,869,673
Yas Island,2020,12118.959927662483,13235.516563303583,9.213304130930178,1691,857
Yas Island,2021,12733.1321,13602.015113350126,6.8237964275115415,1459,1391
Yas Island,2022,13325.253096899956,14299.177797276656,7.308864554349648,1420,1662
Yas Island,2023,14932.84414944467,15842.603445701627,6.092337716460983,2982,1540
Yas Island,2024,17815.4556803995,18178.670360110806,2.0387616585688217,3029,875
Yas Island,2025,19003.043528195703,19484.127100763915,2.5316132747599474,2985,241
Zayed City,2022,13158.690575265779,14274.533808983299,8.47989568061549,342,46
Zayed City,2023,13988.23476895098,13850.951841086058,-0.9814170989583482,409,74
Zayed City,2024,14382.995374805909,13835.907494700876,-3.8037131059872498,893,71
