district,net_yield_pct,yoy_psm_pct,cycle_class,cycle_reward,deals_12m,supply_change_pp,pct_vs_own_history,s_yield,s_momentum,s_cycle,s_liquidity,s_supply_inv,s_value,total
Al Reem Island,5.7,39.9,late-cycle/overheating,30,7406,27.1,100.0,100.0,99.1,30,100.0,20.4,0.0,67.9
Yas Island,5.1,25.1,late-cycle/overheating,30,4967,8.7,96.7,74.9,77.6,30,88.5,33.1,31.7,60.0
Masdar City,5.4,17.2,late-cycle/overheating,30,229,-88.4,100.0,88.7,66.1,30,0.0,100.0,0.0,51.4
Al Reef,5.4,25.4,late-cycle/overheating,30,462,0.0,100.0,85.0,78.1,30,20.2,39.1,0.0,49.8
Al Raha Beach,4.8,40.5,late-cycle/overheating,30,991,56.7,100.0,64.0,100.0,30,42.1,0.0,0.0,48.3
Al Saadiyat Island,4.0,31.2,late-cycle/overheating,30,2313,0.4,96.7,30.4,86.5,30,66.5,38.8,31.7,47.9
Zayed City,5.1,9.4,late-cycle/overheating,30,1119,-5.2,100.0,74.1,54.8,30,45.6,42.7,0.0,46.6
Al Jubail Island,3.4,15.6,mid-cycle,75,234,-35.0,89.5,7.7,63.8,75,0.6,63.2,100.0,46.1
Hudayriyat Island,3.7,24.2,late-cycle/overheating,30,2241,0.0,100.0,16.6,76.3,30,65.6,39.1,0.0,39.2
Al Shamkha,4.9,4.2,late-cycle/overheating,30,542,6.2,100.0,65.6,47.3,30,24.7,34.8,0.0,39.0
Al Maryah Island,3.2,-28.3,cooling,50,689,-15.6,100.0,0.0,0.0,50,31.6,49.8,0.0,19.7
