district,deals_12m,value_bn,median_psm,yoy_psm_pct,yoy_ci_lo,yoy_ci_hi,yoy_volume_pct
Hudayriyat Island,2241,20.24917347821,19515.879009499586,24.187292588000965,20.412726437139973,51.2239993529956,998.5294117647059
Al Saadiyat Island,2313,16.70897607536,31839.98311761396,31.233519705417766,28.120443726134436,34.62700249209998,-12.68403171007928
Al Reem Island,7406,16.05795728073,16563.752829428762,39.86393677373257,38.79732707567547,41.611707220878905,142.8196721311475
Yas Island,4967,12.17281836922,22145.719489981784,25.078577945319424,23.506256232336572,26.864613895572415,36.531061022539866
Al Bahyah,1091,3.36647692,5249.433685895799,6.347782884924191,5.787516051532073,7.236781242097878,162.2596153846154
Al Raha Beach,991,2.669562427,18429.782528566164,40.497807168248315,38.53747264932758,42.557908042521284,75.39823008849558
Zayed City,1119,2.6324869348699997,16044.205954188395,9.399455239502231,8.607412149768102,10.250333235902831,48.01587301587303
Khalifa City,1033,2.062847602,13101.96158561504,21.598989370410095,16.705977303032817,32.06895683699793,125.05446623093684
Al Maryah Island,689,2.04289335557,18761.889663918835,-28.27583826027984,-31.559011888359723,-25.36341674222033,129.66666666666669
Al Jubail Island,234,1.65812267729,18849.61358515871,15.616413510901307,9.43228963691245,23.162837371614923,42.68292682926828
Masdar City,229,0.818403362,15530.211113807329,17.216117216117222,8.188378320301293,33.864087691351294,432.5581395348837
Al Reef,462,0.67717468498,10092.925599836719,25.41377596488017,21.85201229401855,30.403967657844746,-6.666666666666665
Ghadeer Al Tayr,117,0.666751387,26303.18785059516,53.2898394552797,47.618641893408906,69.6127979213937,-2.500000000000002
Al Kasir,48,0.58237677924,25257.994374313654,-6.040518914780235,-10.21125025192529,0.22721388904520354,0.0
Al Shamkha,542,0.57620373754,13550.578203778863,4.2459040899050615,0.34204349294508685,7.760919290864219,156.87203791469196
Rabdan,90,0.449844,12921.089063221045,6.649233451263914,-3.9107501044134527,9.341019132054175,-43.39622641509434
Mohamed Bin Zayed City,54,0.4339660495,3655.638120470584,-8.341772066752073,-29.340971784344212,31.393918622970098,58.823529411764696
Bani Yas,103,0.26009498,12237.40566999796,51.87002855394653,43.6900741430845,75.5788001515107,101.96078431372548
Al Layyan,250,0.2568153076,10082.144319205578,18.79949843072344,12.235416011327592,26.938528505251885,-16.387959866220736
Al Samhah,93,0.19445,12337.662337662337,21.063311688311682,14.948470395072158,25.806451612903224,47.61904761904763
Al Jimi,31,0.09691906712000001,2520.7965717166626,-8.520105579479475,-22.67983072473023,29.682410526898646,-8.823529411764708
Al Khibeesi,33,0.05864,2943.934404780077,-26.165527221419126,-45.525853837146535,8.202556351264834,10.000000000000009
