district,offplan_share_12m_pct,offplan_share_prior12m_pct,share_change_pp,deals_12m
Al Raha Beach,57.21493440968718,0.5309734513274336,56.68396095835975,991
Bani Yas,65.0485436893204,9.803921568627452,55.244622120692945,103
Al Reem Island,66.351606805293,39.278688524590166,27.072918280702837,7406
Khalifa City,80.05808325266214,62.091503267973856,17.966579984688288,1033
Yas Island,88.2625327159251,79.52171522814734,8.740817487777761,4967
Al Shamkha,93.91143911439114,87.67772511848341,6.233713995907735,542
Al Kasir,2.083333333333333,0.0,2.083333333333333,48
Al Bahyah,99.17506874427131,98.07692307692307,1.0981456673482484,1091
Al Saadiyat Island,87.67833981841764,87.31596828992072,0.3623715284969222,2313
Hudayriyat Island,100.0,100.0,0.0,2241
Al Jimi,0.0,0.0,0.0,31
Al Khibeesi,0.0,0.0,0.0,33
Rabdan,0.0,0.0,0.0,90
Al Reef,0.0,0.0,0.0,462
Mohamed Bin Zayed City,0.0,0.0,0.0,54
Al Layyan,0.4,1.0033444816053512,-0.6033444816053511,250
Al Samhah,0.0,4.761904761904762,-4.761904761904762,93
Zayed City,94.01251117068811,99.20634920634922,-5.193838035661102,1119
Ghadeer Al Tayr,89.74358974358975,99.16666666666667,-9.42307692307692,117
Al Maryah Island,46.73439767779391,62.33333333333333,-15.598935655539421,689
Al Jubail Island,57.692307692307686,92.6829268292683,-34.99061913696061,234
Masdar City,0.0,88.37209302325581,-88.37209302325581,229
