district,project,deals,value_bn,psm_now,psm_prior,yoy_pct
Al Jubail Island,Jubail Island - Phase 2,83,0.7685076772899999,23359.088225479372,14489.936562350904,61.209044118061364
Khalifa City,Plaza 2,30,0.026552601,15941.611365856066,10812.270984235194,47.43999099818803
Khalifa City,Oasis 2,44,0.042413,15478.217899473679,10518.851199621795,47.14741758140089
Al Reem Island,"The Bridges (Towers 1, 2, and 3)",64,0.093877629,17614.091273018417,12316.768053917967,43.00903610355291
Yas Island,Water's Edge - Precinct A,72,0.110881222,20371.688895290252,14318.354912414317,42.276742125085654
Al Raha Beach,Al Muneera (Mainland),76,0.156898658,16504.242147036995,11805.009061859113,39.8071112063833
Yas Island,Water's Edge - Precinct B,111,0.178810392,20277.647792856027,14588.452088452088,38.997939396924686
Al Raha Beach,Al Zeina,41,0.143541,17728.328646533806,12987.013071516754,36.50812969008057
Al Reem Island,"Sun & Sky, Boutik Mall",133,0.258024781,15726.36938490597,11549.882440020814,36.160428182484836
Al Saadiyat Island,Bloom Soho Square,32,0.045642248200000006,19305.019305019305,14365.871771598317,34.38111944717343
Hudayriyat Island,Nawayef East B,400,4.69536330019,23493.37699613258,17630.881544077205,33.25128943438895
Al Reem Island,Reem Nine,31,0.093415,22535.958109630807,16919.28961748634,33.19683402274498
Al Reem Island,The Gate and Arc Towers,196,0.28214210126,13992.808315406235,10560.631017283378,32.4997369239187
Al Reef,Al Reef Downtown,250,0.251688314,9095.170438363073,6954.03677162598,30.789795007604724
Al Reem Island,"Marina Square, Paragon Bay Mall",480,0.80401686,13129.166666666666,10112.359550561798,29.83287037037037
