district,project,deals,value_bn,psm_now,psm_prior,yoy_pct
Hudayriyat Island,Nawayef East B,400,4.69536330019,23493.37699613258,17630.881544077205,33.25128943438895
Hudayriyat Island,Al Naseem,385,3.73525416427,12559.4405415435,11961.371517780592,5.0000037443354906
Al Saadiyat Island,The Row Saadiyat,515,3.096352866,41562.9372214248,,
Fahid Island,Fahid Beach Residences,414,2.85927597364,41268.73904291641,,
Fahid Island,Fahid Beach Terraces,365,2.647825655,43225.125069483045,,
Fahid Island,The Beach House,730,2.622955498,36207.15510404503,,
Hudayriyat Island,Nawayef West B,140,2.44181543875,19638.1954158624,16536.171363660953,18.759022170139673
Al Saadiyat Island,Four Seasons Private Residences,44,2.2676,76531.80126035564,,
Yas Island,Yas Riva Residences,891,2.214580939,27297.18599862732,,
Hudayriyat Island,Nawayef West A,44,2.188695155,16229.900658328963,,
Al Bahyah,Al Deem Townhomes,397,1.67539732,12775.499467234948,,
Al Bahyah,Bal Ghaiylam,685,1.6618296,4986.093083626924,4936.478272360026,1.0050649173257487
Ghantout,Bayn - Lagoon 1,314,1.637099719,17620.325748795218,,
Hudayriyat Island,Nawayef Village Townhouses,329,1.54664552,17425.01733349647,,
Al Reem Island,Reem Hills - Phase 1A,95,1.44547527376,11978.703085347935,11999.361102775332,-0.17215931123715222
