district,project,launch_date,launch_year,off_post_n,off_post_sec_n,secondary_share_pct
Al Saadiyat Island,Louvre Residences,2022-04-22,2022,10,10,100.0
Al Saadiyat Island,Saadiyat Lagoons - Phase 2 - Ethir,2023-03-28,2023,6,6,100.0
Al Saadiyat Island,Saadiyat Grove - The Source,2023-04-28,2023,5,5,100.0
Zayed City,Bloom Living - Toledo,2022-10-27,2022,11,11,100.0
Yas Island,The Sustainable City - Yas Island - Phase 1,2023-03-01,2023,36,36,100.0
Zayed City,Bloom Living - Olvera,2024-10-11,2024,6,6,100.0
Yas Island,Noya - Phase 5 - Yas Park Views,2022-12-23,2022,19,19,100.0
Zayed City,Bloom Living - Casares,2023-08-10,2023,8,8,100.0
Zayed City,Bloom Living - Granada 1,2024-04-05,2024,11,11,100.0
Al Shamkha,Reeman Living 2,2023-06-16,2023,24,23,95.83333333333334
Yas Island,Ansam - Phase 2 - The Golf Collection,2022-08-09,2022,44,42,95.45454545454545
Yas Island,Noya - Phase 4 - Yas Park Gate,2022-09-16,2022,15,14,93.33333333333333
Al Saadiyat Island,Nouran Living,2024-04-23,2024,26,24,92.3076923076923
Al Shamkha,Reeman Living,2023-04-13,2023,51,47,92.15686274509804
Zayed City,Bloom Living - Seville,2024-07-11,2024,11,10,90.9090909090909
Al Saadiyat Island,Saadiyat Lagoons - Phase 2 - Al Sidr,2023-03-28,2023,17,15,88.23529411764706
Al Saadiyat Island,Manarat Living I,2023-03-22,2023,16,14,87.5
Al Saadiyat Island,Saadiyat Lagoons - Wilds - Phase 1,2022-12-22,2022,13,10,76.92307692307693
Al Saadiyat Island,Manarat Living II,2024-03-04,2024,13,10,76.92307692307693
Yas Island,Gardenia Bay,2023-09-20,2023,124,94,75.80645161290323
Yas Island,Sea La Vie,2023-12-07,2023,14,10,71.42857142857143
Al Saadiyat Island,Saadiyat Grove - The Source Residences,2023-08-23,2023,12,8,66.66666666666666
Al Saadiyat Island,Saadiyat Grove - The Heart,2022-09-05,2022,43,28,65.11627906976744
Al Saadiyat Island,Saadiyat Grove - The Arthouse,2024-08-07,2024,8,5,62.5
Yas Island,Sama Yas,2024-03-04,2024,6,2,33.33333333333333
Hudayriyat Island,Nawayef West B,2024-10-23,2024,5,1,20.0
Al Saadiyat Island,Mamsha Gardens B,2024-11-28,2024,11,2,18.181818181818183
Al Reem Island,Vista 3,2024-11-25,2024,6,1,16.666666666666664
Hudayriyat Island,Al Naseem,2024-10-21,2024,67,3,4.477611940298507
Yas Island,Icon,2024-06-19,2024,7,0,0.0
Yas Island,Mayyas at the Bay,2024-02-15,2024,14,0,0.0
