date,district,community,project,ptype,layout,sqm,price,rate_sqm,ref_mean,z,discount_pct
2026-04-27,Al Reem Island,RT3,Radiant Square,apartment,3 beds,143.58,854000.0,5947.903607744811,16293.868394341813,-2.3562205310018127,-63.496062053562
2026-04-20,Al Reem Island,RT3,Hydra Avenue (Hydra Towers),apartment,studio,39.4,300000.0,7614.213197969542,16293.868394341813,-1.976730270936455,-53.26945686750702
2026-04-08,Yas Island,YS3_06,Ansam - Phase 2 - The Golf Collection,apartment,2 beds,232.28,2418393.0,10411.542104356811,20761.353744995704,-1.7301408544749377,-49.851333240413574
2026-02-27,Al Reem Island,RT3,Radiant Square,apartment,2 beds,102.4,936700.0,9147.4609375,16293.868394341813,-1.6275439091508506,-43.85948925010015
2026-05-21,Al Reem Island,RT3,Radiant Square,apartment,2 beds,150.9,1381000.0,9151.756129887342,16293.868394341813,-1.6265657093699302,-43.833128460363845
2026-04-30,Al Reef,Al Reef,Al Reef Downtown,apartment,4 beds,166.7,1000000.0,5998.800239952009,9592.196147659315,-1.6538786859452883,-37.461660003524486
2026-05-22,Al Shamkha,SH36,Al Reeman 1 - Phase 2 (Plots),villa,5 beds,561.04,4900000.0,8733.780122629401,12716.603735696299,-1.7265865635606774,-31.319868856862023
2026-04-21,Zayed City,MZ12,Bloom Living - Cordoba,villa,3 beds,253.49,2985941.7,11779.327389640615,15563.014460005126,-2.018024124339945,-24.31204494532908
2026-04-07,Zayed City,MZ12,Bloom Living - Cordoba,villa,3 beds,253.49,3104754.0,12248.033452996173,15563.014460005126,-1.7680404112352566,-21.300378635051796
2026-04-17,Zayed City,MZ12,Bloom Living - Cordoba,villa,5 beds,427.89,5289499.0,12361.819626539533,15563.014460005126,-1.7073527172065033,-20.569246669353404
