district,ptype,layout,tier,n_post,psm_post_ready,price_med,net_yield_pct,stress_net_yield_pct,naive_change_pct,excess_change_pct,vol_change_ratio,regime_class,distress_count,dump_signal_pp,s_yield,s_stress_yield,s_panic,s_distress,s_liquidity,s_supply_inv,total
Al Reem Island,apartment,1 bed,affordable,763.0,15000.0,1200000.0,5.87,4.87,10.48,28.15,1.29,resilient,4,-0.41,96.96,97.75,0,100.0,100.0,66.34,75.38
Al Reem Island,apartment,studio,affordable,276.0,13945.23,567184.8,6.02,4.96,9.05,27.42,1.5,resilient,4,-0.41,100.0,100.0,0,100.0,35.15,66.34,70.15
Al Reem Island,apartment,2 beds,affordable,731.0,14020.72,1682390.0,5.35,4.41,24.58,35.06,1.39,resilient,4,-0.41,86.19,86.69,0,100.0,95.74,66.34,70.07
Yas Island,apartment,1 bed,midtier,698.0,18912.22,1470000.0,5.35,4.39,21.45,29.22,2.31,resilient,1,24.15,86.19,86.36,0,43.07,91.34,15.97,56.0
Al Reem Island,apartment,3 beds,midtier,181.0,15792.74,2500000.0,4.47,3.62,20.29,19.62,0.9,resilient,4,-0.41,68.16,67.77,0,100.0,22.5,66.34,54.5
Yas Island,apartment,studio,midtier,346.0,16618.57,832830.0,5.63,4.64,29.02,33.28,1.7,resilient,1,24.15,92.04,92.27,0,43.07,44.47,15.97,53.96
Al Saadiyat Island,apartment,studio,midtier,71.0,21909.2,1100000.0,4.53,3.72,9.49,-23.03,1.26,panic distribution,0,31.94,69.4,70.2,100,0.0,7.86,0.0,52.14
Yas Island,apartment,2 beds,midtier,462.0,18754.89,2235000.0,5.03,4.14,22.92,31.99,1.62,resilient,1,24.15,79.77,80.12,0,43.07,59.92,15.97,50.0
Al Raha Beach,apartment,1 bed,midtier,137.0,16693.64,1500000.0,5.02,4.11,11.5,30.67,3.33,resilient,0,0.0,79.58,79.57,0,0.0,16.64,65.5,44.02
Al Raha Beach,apartment,2 beds,midtier,105.0,17222.88,2394500.0,4.69,3.83,18.58,36.93,1.14,resilient,0,0.0,72.7,72.78,0,0.0,12.38,65.5,40.52
Al Saadiyat Island,apartment,1 bed,midtier,277.0,18076.71,1500000.0,4.13,3.36,51.69,56.04,1.64,resilient,0,31.94,61.27,61.3,0,0.0,35.29,0.0,31.11
Al Maryah Island,apartment,1 bed,midtier,53.0,21645.47,1375000.0,4.03,3.29,128.47,78.41,1.41,resilient,0,16.8,59.16,59.79,0,0.0,5.46,31.05,30.37
Al Maryah Island,apartment,2 beds,luxury,35.0,53851.8,10662657.0,4.0,3.33,190.1,95.63,1.34,resilient,0,16.8,58.47,60.6,0,0.0,3.06,31.05,30.04
Yas Island,villa,4 beds,midtier,35.0,21677.89,5895000.0,3.85,3.15,17.02,6.06,1.45,resilient,0,24.15,55.39,56.33,0,0.0,3.06,15.97,26.97
Al Saadiyat Island,apartment,2 beds,luxury,311.0,23756.18,4482303.0,1.15,0.82,40.86,49.41,1.7,resilient,0,31.94,0.0,0.0,0,0.0,39.81,0.0,3.98
