district,project,post_event_deals,secondary_deals,secondary_share_pct,layout_mix,median_psm,psm_p10,psm_p90,median_price,price_min,price_max,median_sqm,last_print_date
Yas Island,Gardenia Bay,124,94,76.0,"1 bed:51, studio:51, 2 beds:16, 3 beds:6",20716.0,18778.0,24418.0,1473461.0,833369.0,4000000.0,75.0,2026-06-01
Yas Island,Ansam - Phase 2 - The Golf Collection,83,81,98.0,"1 bed:33, 2 beds:29, studio:17, 3 beds:4",19295.0,16502.0,26065.0,1785000.0,689390.0,5950000.0,82.0,2026-06-01
Al Shamkha,Reeman Living,51,47,92.0,"studio:36, 2 beds:10, 3 beds:5",14162.0,12097.0,18667.0,660000.0,430000.0,1400000.0,45.0,2026-05-25
Yas Island,The Sustainable City - Yas Island - Phase 1,36,36,100.0,"1 bed:14, 3 beds:12, 2 beds:6, 4 beds:4",16214.0,12592.0,21617.0,1811559.0,945337.0,4625000.0,101.0,2026-05-22
Al Saadiyat Island,Nouran Living,26,24,92.0,"1 bed:10, studio:9, 2 beds:6, 3 beds:1",23545.0,20764.0,32058.0,1635000.0,804162.0,4160478.0,71.0,2026-06-01
Al Shamkha,Reeman Living 2,24,23,96.0,"studio:18, 2 beds:5, 3 beds:1",15304.0,12112.0,18388.0,679764.0,425000.0,1280000.0,45.0,2026-05-20
Yas Island,Noya - Phase 5 - Yas Park Views,19,19,100.0,"5 beds:8, 4 beds:7, 3 beds:4",18578.0,16397.0,22391.0,4850000.0,3295368.0,5800000.0,233.0,2026-05-20
Al Saadiyat Island,Saadiyat Lagoons - Phase 2 - Al Sidr,17,15,88.0,"4 beds:11, 5 beds:6",16128.0,15321.0,17325.0,8050000.0,7300000.0,10075545.0,496.0,2026-05-19
Al Saadiyat Island,Saadiyat Lagoons - Wilds - Phase 1,16,13,81.0,"5 beds:8, 4 beds:5, 6+ beds:3",17532.0,14600.0,19834.0,9301488.0,7573124.0,12500000.0,579.0,2026-06-01
Al Saadiyat Island,Manarat Living I,16,14,88.0,"1 bed:8, studio:5, 2 beds:3",28473.0,22058.0,33100.0,1705000.0,1000000.0,3000000.0,68.0,2026-05-15
Yas Island,Noya - Phase 4 - Yas Park Gate,15,14,93.0,"2 beds:7, 3 beds:6, 4 beds:2",19206.0,15749.0,23241.0,2900000.0,1849199.0,4600000.0,159.0,2026-05-19
Al Saadiyat Island,Manarat Living II,13,10,77.0,"1 bed:6, studio:4, 2 beds:3",23750.0,18620.0,32955.0,1436200.0,929949.0,3163118.0,71.0,2026-05-15
Zayed City,Bloom Living - Granada 1,11,11,100.0,"2 beds:5, 1 bed:4, 3 beds:2",14199.0,13628.0,16201.0,1547000.0,980000.0,2315000.0,110.0,2026-05-15
Zayed City,Bloom Living - Seville,11,10,91.0,"3 beds:5, 2 beds:4, 4 beds:1, 5 beds:1",17062.0,15252.0,18437.0,2475000.0,2025000.0,7613000.0,152.0,2026-05-15
Zayed City,Bloom Living - Toledo,11,11,100.0,"3 beds:6, 2 beds:5",19703.0,14981.0,21808.0,3300000.0,2400000.0,4100000.0,151.0,2026-05-15
Al Saadiyat Island,Louvre Residences,10,10,100.0,"2 beds:5, studio:3, 3 beds:1, 1 bed:1",39537.0,32974.0,63447.0,4269364.0,1810000.0,11500000.0,117.0,2026-05-25
Zayed City,Bloom Living - Casares,8,8,100.0,"3 beds:5, 2 beds:3",16714.0,14173.0,18225.0,2450000.0,1751000.0,3100000.0,152.0,2026-05-15
Al Saadiyat Island,Saadiyat Lagoons - Phase 2 - Ethir,6,6,100.0,"5 beds:4, 4 beds:2",14071.0,12905.0,17386.0,8105587.0,6396103.0,10390307.0,576.0,2026-04-29
Zayed City,Bloom Living - Olvera,6,6,100.0,"2 beds:4, 3 beds:2",16865.0,14714.0,17478.0,2062535.0,1634831.0,2663000.0,122.0,2026-05-14
Al Saadiyat Island,Saadiyat Grove - The Source,5,5,100.0,"2 beds:4, 1 bed:1",32956.0,31655.0,41561.0,5600000.0,2600000.0,9000000.0,178.0,2026-05-07
