scenario,ltv_pct,horizon_y,irr_pct,irr_honest_pct,delta_pp
bear,0,3,4.2,3.8,-0.4
bear,0,5,5.0,4.6,-0.4
bear,0,7,5.4,5.0,-0.4
bear,50,3,3.3,1.6,-1.7
bear,50,5,4.8,3.2,-1.6
bear,50,7,5.5,3.9,-1.6
bear,70,3,2.1,-1.2,-3.3
bear,70,5,4.6,1.5,-3.1
bear,70,7,5.6,2.7,-2.9
base,0,3,9.9,9.6,-0.3
base,0,5,10.6,10.3,-0.3
base,0,7,10.9,10.5,-0.4
base,50,3,13.8,12.3,-1.5
base,50,5,14.6,13.3,-1.3
base,50,7,14.6,13.4,-1.2
base,70,3,18.1,15.4,-2.7
base,70,5,18.7,16.3,-2.4
base,70,7,18.2,16.1,-2.1
bull,0,3,13.8,13.4,-0.4
bull,0,5,14.4,14.0,-0.4
bull,0,7,14.5,14.2,-0.3
bull,50,3,20.4,19.0,-1.4
bull,50,5,20.6,19.3,-1.3
bull,50,7,20.0,18.9,-1.1
bull,70,3,27.5,25.0,-2.5
bull,70,5,26.5,24.4,-2.1
bull,70,7,25.0,23.1,-1.9
