district,ptype,layout,px_pct_lag30,px_pct_lag45,px_pct_lag60,px_pct_lag90,vol_ratio_lag30,vol_ratio_lag45,vol_ratio_lag60,vol_ratio_lag90,px_sign_flip,vol_crosses_one,px_max_swing_pp,fragility
Al Jubail Island,villa,3 beds,9.44,,,,1.52,,,,False,False,0.0,stable
Al Jubail Island,villa,4 beds,2.43,-0.83,-2.57,,2.06,2.19,2.43,,True,False,5.0,FRAGILE
Al Maryah Island,apartment,1 bed,113.51,113.51,,,0.78,0.91,,,False,False,0.0,stable
Al Maryah Island,apartment,2 beds,204.53,,,,0.67,,,,False,False,0.0,stable
Al Maryah Island,apartment,3 beds,62.2,62.07,,,0.89,1.02,,,False,True,0.1,FRAGILE
Al Maryah Island,apartment,studio,40.21,40.21,,,0.18,0.15,,,False,False,0.0,stable
Al Raha Beach,apartment,1 bed,12.46,12.12,12.46,,4.23,4.62,3.1,,False,False,0.3,stable
Al Raha Beach,apartment,2 beds,21.19,16.97,17.72,,1.34,1.36,1.0,,False,True,4.2,FRAGILE
Al Raha Beach,apartment,3 beds,7.28,7.02,,,0.78,0.97,,,False,False,0.3,stable
Al Raha Beach,apartment,4 beds,-10.83,-10.83,,,3.45,4.49,,,False,False,0.0,stable
Al Raha Beach,apartment,studio,13.75,13.75,,,2.9,3.77,,,False,False,0.0,stable
Al Raha Beach,duplex,1 bed,1.37,1.37,,,5.99,7.78,,,False,False,0.0,stable
Al Raha Beach,duplex,2 beds,75.88,75.88,,,2.14,2.78,,,False,False,0.0,stable
Al Raha Beach,duplex,3 beds,0.65,1.89,-13.57,,3.27,3.34,3.47,,True,False,15.5,FRAGILE
Al Reef,apartment,2 beds,44.63,43.75,,,0.75,0.44,,,False,False,0.9,stable
Al Reef,townhouse / attached villa,2 beds,19.09,18.17,,,0.72,0.7,,,False,False,0.9,stable
Al Reef,townhouse / attached villa,3 beds,14.29,7.14,,,0.95,1.1,,,False,True,7.1,FRAGILE
Al Reem Island,apartment,1 bed,12.92,15.03,10.79,10.44,1.35,1.41,1.25,1.29,False,False,4.6,stable
Al Reem Island,apartment,2 beds,24.33,25.23,24.83,24.89,1.55,1.61,1.45,1.74,False,False,0.9,stable
Al Reem Island,apartment,3 beds,24.06,25.58,25.17,20.83,0.95,0.86,0.77,0.95,False,False,4.7,stable
Al Reem Island,apartment,4 beds,12.67,18.06,,,0.49,0.38,,,False,False,5.4,stable
