district,ptype,layout,tier,n_post_ready,psm_post_ready,price_med,all_in_entry,net_yield_adj_pct,net_yield_honest_pct,delta_from_optimistic_pp
Al Reem Island,apartment,studio,affordable,11,11193.075734157652,567184.8,589872.192,6.7948031451124935,6.37,-0.42
Yas Island,apartment,studio,midtier,14,20401.817783712024,982797.0,1022108.88,6.773844975400271,6.36,-0.41
Yas Island,apartment,1 bed,midtier,18,19505.491180859844,1460000.0,1518400.0,6.291609949947312,5.9,-0.39
Al Reem Island,apartment,1 bed,midtier,76,15594.18598187983,1203500.0,1251640.0,6.180677306973251,5.78,-0.4
Al Reem Island,apartment,2 beds,affordable,83,13993.82109254318,1769000.0,1839760.0,6.077579521241901,5.7,-0.38
Al Reef,apartment,2 beds,affordable,9,10970.142134885053,1175000.0,1222000.0,6.033648903436988,5.65,-0.38
Yas Island,apartment,2 beds,midtier,20,18754.892655308424,2374829.5,2469822.68,5.989154265388396,5.62,-0.37
Al Raha Beach,apartment,1 bed,midtier,14,16690.719717242282,1501000.0,1561040.0,5.672688423102548,5.31,-0.36
Al Raha Beach,apartment,2 beds,midtier,11,17986.855759252852,2600000.0,2704000.0,5.316859038461539,4.98,-0.34
Al Reem Island,apartment,3 beds,midtier,28,16880.495775946627,2782500.0,2893800.0,5.206493720713248,4.87,-0.34
Al Saadiyat Island,apartment,1 bed,midtier,5,18197.958277851754,1640000.0,1705600.0,4.888912626641651,4.57,-0.32
Al Raha Beach,apartment,3 beds,midtier,6,15853.838537174432,2919500.0,3036280.0,4.624485145638743,4.31,-0.31
Al Maryah Island,apartment,studio,luxury,7,23738.280470775982,1100000.0,1144000.0,4.321862811188811,4.02,-0.3
Yas Island,villa,4 beds,luxury,6,23091.5559080099,4970000.0,5168800.0,4.157075070422533,3.87,-0.29
Al Jubail Island,villa,4 beds,luxury,5,22491.062761902507,9500000.0,9880000.0,3.506999742510122,3.26,-0.25
Al Saadiyat Island,apartment,2 beds,luxury,5,24098.403225806447,4482303.0,4661595.12,1.6398420164598078,1.5,-0.14
